Voltage (V)	Current (A)
-5.000772E-1	-1.811727E-6
-4.980839E-1	-1.803107E-6
-4.960571E-1	-1.794626E-6
-4.940626E-1	-1.785762E-6
-4.920671E-1	-1.777452E-6
-4.900729E-1	-1.768643E-6
-4.880796E-1	-1.760275E-6
-4.860175E-1	-1.751459E-6
-4.840195E-1	-1.742960E-6
-4.820256E-1	-1.734384E-6
-4.800327E-1	-1.725893E-6
-4.780335E-1	-1.717305E-6
-4.760071E-1	-1.708828E-6
-4.740137E-1	-1.700227E-6
-4.720192E-1	-1.691738E-6
-4.700273E-1	-1.683174E-6
-4.680327E-1	-1.674686E-6
-4.660352E-1	-1.666386E-6
-4.640082E-1	-1.657673E-6
-4.619803E-1	-1.649274E-6
-4.599870E-1	-1.640570E-6
-4.579578E-1	-1.632183E-6
-4.559628E-1	-1.623640E-6
-4.539701E-1	-1.615195E-6
-4.519760E-1	-1.607104E-6
-4.499796E-1	-1.598696E-6
-4.479842E-1	-1.590148E-6
-4.459884E-1	-1.582021E-6
-4.439605E-1	-1.573398E-6
-4.419657E-1	-1.565040E-6
-4.399692E-1	-1.556740E-6
-4.379759E-1	-1.548336E-6
-4.359142E-1	-1.539765E-6
-4.339188E-1	-1.531194E-6
-4.319231E-1	-1.523062E-6
-4.299287E-1	-1.514903E-6
-4.279341E-1	-1.506807E-6
-4.259086E-1	-1.498161E-6
-4.239089E-1	-1.489846E-6
-4.219145E-1	-1.481832E-6
-4.199202E-1	-1.473464E-6
-4.179282E-1	-1.465512E-6
-4.159333E-1	-1.457205E-6
-4.139016E-1	-1.448965E-6
-4.118732E-1	-1.440505E-6
-4.098792E-1	-1.432156E-6
-4.078502E-1	-1.423819E-6
-4.058550E-1	-1.415885E-6
-4.038620E-1	-1.407808E-6
-4.018689E-1	-1.399390E-6
-3.998741E-1	-1.391342E-6
-3.978773E-1	-1.382995E-6
-3.958827E-1	-1.374945E-6
-3.938530E-1	-1.366895E-6
-3.918623E-1	-1.358735E-6
-3.898665E-1	-1.350571E-6
-3.878725E-1	-1.342371E-6
-3.858107E-1	-1.334185E-6
-3.838178E-1	-1.326049E-6
-3.818239E-1	-1.318011E-6
-3.798263E-1	-1.309887E-6
-3.778310E-1	-1.301933E-6
-3.758026E-1	-1.293629E-6
-3.738101E-1	-1.285855E-6
-3.718132E-1	-1.277822E-6
-3.698187E-1	-1.269913E-6
-3.678246E-1	-1.261853E-6
-3.658293E-1	-1.253856E-6
-3.638039E-1	-1.245847E-6
-3.617718E-1	-1.237604E-6
-3.597788E-1	-1.229921E-6
-3.577859E-1	-1.221860E-6
-3.557569E-1	-1.213855E-6
-3.537588E-1	-1.205879E-6
-3.517662E-1	-1.197853E-6
-3.497734E-1	-1.190289E-6
-3.477772E-1	-1.182308E-6
-3.457796E-1	-1.174296E-6
-3.437515E-1	-1.166364E-6
-3.417547E-1	-1.158443E-6
-3.397633E-1	-1.150610E-6
-3.377693E-1	-1.142534E-6
-3.357057E-1	-1.134599E-6
-3.337125E-1	-1.126963E-6
-3.317192E-1	-1.119018E-6
-3.297265E-1	-1.111246E-6
-3.277294E-1	-1.103611E-6
-3.257002E-1	-1.095721E-6
-3.237086E-1	-1.087892E-6
-3.217116E-1	-1.080013E-6
-3.197166E-1	-1.072405E-6
-3.177222E-1	-1.064735E-6
-3.157291E-1	-1.057017E-6
-3.137002E-1	-1.049105E-6
-3.116699E-1	-1.041375E-6
-3.096739E-1	-1.033580E-6
-3.076769E-1	-1.025893E-6
-3.056532E-1	-1.018056E-6
-3.036563E-1	-1.010605E-6
-3.016596E-1	-1.002984E-6
-2.997065E-1	-9.952564E-7
-2.977157E-1	-9.877734E-7
-2.957201E-1	-9.802341E-7
-2.936881E-1	-9.724353E-7
-2.916943E-1	-9.649004E-7
-2.897002E-1	-9.572848E-7
-2.877043E-1	-9.498116E-7
-2.856413E-1	-9.419959E-7
-2.836479E-1	-9.344671E-7
-2.816530E-1	-9.268987E-7
-2.796592E-1	-9.194868E-7
-2.776626E-1	-9.120316E-7
-2.756310E-1	-9.044366E-7
-2.736351E-1	-8.970307E-7
-2.716423E-1	-8.895238E-7
-2.696466E-1	-8.820680E-7
-2.676484E-1	-8.747132E-7
-2.656561E-1	-8.674385E-7
-2.636293E-1	-8.597171E-7
-2.616027E-1	-8.522586E-7
-2.596052E-1	-8.449620E-7
-2.576095E-1	-8.375449E-7
-2.555833E-1	-8.300258E-7
-2.535872E-1	-8.224982E-7
-2.515937E-1	-8.153264E-7
-2.495979E-1	-8.079811E-7
-2.476047E-1	-8.007648E-7
-2.456099E-1	-7.933587E-7
-2.435809E-1	-7.860635E-7
-2.415848E-1	-7.787356E-7
-2.395895E-1	-7.714257E-7
-2.375965E-1	-7.641516E-7
-2.355326E-1	-7.565930E-7
-2.335333E-1	-7.496374E-7
-2.315407E-1	-7.424082E-7
-2.295457E-1	-7.352032E-7
-2.275537E-1	-7.278964E-7
-2.255233E-1	-7.206284E-7
-2.235283E-1	-7.136193E-7
-2.215327E-1	-7.064325E-7
-2.195397E-1	-6.993126E-7
-2.175446E-1	-6.922164E-7
-2.155480E-1	-6.851202E-7
-2.135509E-1	-6.779401E-7
-2.114928E-1	-6.707949E-7
-2.094977E-1	-6.636128E-7
-2.074968E-1	-6.566025E-7
-2.054688E-1	-6.494915E-7
-2.034741E-1	-6.424241E-7
-2.014815E-1	-6.354653E-7
-1.994828E-1	-6.283882E-7
-1.974912E-1	-6.215075E-7
-1.954944E-1	-6.145988E-7
-1.934705E-1	-6.075118E-7
-1.914741E-1	-6.005135E-7
-1.894773E-1	-5.936675E-7
-1.874851E-1	-5.867931E-7
-1.854214E-1	-5.796128E-7
-1.834288E-1	-5.726701E-7
-1.814301E-1	-5.658895E-7
-1.794371E-1	-5.590110E-7
-1.774403E-1	-5.520155E-7
-1.754116E-1	-5.451627E-7
-1.734203E-1	-5.384616E-7
-1.714225E-1	-5.316435E-7
-1.694299E-1	-5.248856E-7
-1.674337E-1	-5.180970E-7
-1.654361E-1	-5.113162E-7
-1.634398E-1	-5.045210E-7
-1.613810E-1	-4.976254E-7
-1.593858E-1	-4.909683E-7
-1.573928E-1	-4.842693E-7
-1.553595E-1	-4.774741E-7
-1.533643E-1	-4.708666E-7
-1.513656E-1	-4.642050E-7
-1.493752E-1	-4.575679E-7
-1.473806E-1	-4.509098E-7
-1.453821E-1	-4.443531E-7
-1.433545E-1	-4.376514E-7
-1.413624E-1	-4.310164E-7
-1.393660E-1	-4.245317E-7
-1.373683E-1	-4.180608E-7
-1.353066E-1	-4.112988E-7
-1.333136E-1	-4.048319E-7
-1.313146E-1	-3.982594E-7
-1.293163E-1	-3.917404E-7
-1.273233E-1	-3.852527E-7
-1.253287E-1	-3.788410E-7
-1.233011E-1	-3.723370E-7
-1.213048E-1	-3.658553E-7
-1.193115E-1	-3.595499E-7
-1.173159E-1	-3.531710E-7
-1.153240E-1	-3.468350E-7
-1.133269E-1	-3.404776E-7
-1.112646E-1	-3.339222E-7
-1.092696E-1	-3.276317E-7
-1.072777E-1	-3.212778E-7
-1.052500E-1	-3.149702E-7
-1.032504E-1	-3.086389E-7
-1.012555E-1	-3.024384E-7
-9.926075E-2	-2.961347E-7
-9.726547E-2	-2.898607E-7
-9.526939E-2	-2.837155E-7
-9.324065E-2	-2.774471E-7
-9.124736E-2	-2.712662E-7
-8.925308E-2	-2.650816E-7
-8.725972E-2	-2.589765E-7
-8.519318E-2	-2.526229E-7
-8.319880E-2	-2.464738E-7
-8.120745E-2	-2.403507E-7
-7.921147E-2	-2.342732E-7
-7.720955E-2	-2.281548E-7
-7.522124E-2	-2.220968E-7
-7.319115E-2	-2.159115E-7
-7.119751E-2	-2.098945E-7
-6.920004E-2	-2.038767E-7
-6.720209E-2	-1.978312E-7
-6.520879E-2	-1.918303E-7
-6.321593E-2	-1.858425E-7
-6.115046E-2	-1.796609E-7
-5.915470E-2	-1.737192E-7
-5.715998E-2	-1.677490E-7
-5.513468E-2	-1.617052E-7
-5.314008E-2	-1.557716E-7
-5.114587E-2	-1.498340E-7
-4.915048E-2	-1.439111E-7
-4.715617E-2	-1.380210E-7
-4.516105E-2	-1.321331E-7
-4.312356E-2	-1.261217E-7
-4.113606E-2	-1.202480E-7
-3.914048E-2	-1.144065E-7
-3.714965E-2	-1.085239E-7
-3.508464E-2	-1.024825E-7
-3.308996E-2	-9.659452E-8
-3.109180E-2	-9.075067E-8
-2.909779E-2	-8.490948E-8
-2.710221E-2	-7.907287E-8
-2.510692E-2	-7.321411E-8
-2.307604E-2	-6.729455E-8
-2.108269E-2	-6.145764E-8
-1.909134E-2	-5.564335E-8
-1.709033E-2	-4.977577E-8
-1.509767E-2	-4.398033E-8
-1.309865E-2	-3.812672E-8
-1.104334E-2	-3.207638E-8
-9.041400E-3	-2.624904E-8
-7.050082E-3	-2.039938E-8
-5.023252E-3	-1.444326E-8
-3.025653E-3	-8.641369E-9
-1.032407E-3	-2.769702E-9
9.566417E-4	3.092259E-9
2.953837E-3	8.915622E-9
4.982185E-3	1.490828E-8
6.972935E-3	2.075691E-8
8.972480E-3	2.665726E-8
1.096541E-2	3.254188E-8
1.295841E-2	3.842841E-8
1.502008E-2	4.455394E-8
1.701738E-2	5.046926E-8
1.901324E-2	5.640748E-8
2.100717E-2	6.234848E-8
2.303376E-2	6.841515E-8
2.502442E-2	7.439832E-8
2.702452E-2	8.035178E-8
2.902091E-2	8.635048E-8
3.101464E-2	9.237749E-8
3.300315E-2	9.839306E-8
3.503770E-2	1.045985E-7
3.703543E-2	1.106466E-7
3.906105E-2	1.168390E-7
4.108740E-2	1.230400E-7
4.308494E-2	1.291691E-7
4.508047E-2	1.353020E-7
4.706914E-2	1.414250E-7
4.906672E-2	1.476015E-7
5.106110E-2	1.538194E-7
5.308738E-2	1.600831E-7
5.508625E-2	1.663387E-7
5.707549E-2	1.725256E-7
5.907080E-2	1.787700E-7
6.106519E-2	1.851098E-7
6.312941E-2	1.916477E-7
6.512401E-2	1.979302E-7
6.711689E-2	2.043070E-7
6.911461E-2	2.106640E-7
7.114121E-2	2.171609E-7
7.313767E-2	2.235949E-7
7.512930E-2	2.299553E-7
7.712447E-2	2.364219E-7
7.911963E-2	2.429324E-7
8.111453E-2	2.494097E-7
8.314565E-2	2.560123E-7
8.513767E-2	2.625978E-7
8.713358E-2	2.691228E-7
8.919436E-2	2.758937E-7
9.118776E-2	2.824842E-7
9.318095E-2	2.890654E-7
9.517629E-2	2.957058E-7
9.717373E-2	3.024599E-7
9.916960E-2	3.090939E-7
1.011954E-1	3.159215E-7
1.031912E-1	3.225960E-7
1.051855E-1	3.293453E-7
1.071766E-1	3.360614E-7
1.091743E-1	3.428682E-7
1.111654E-1	3.496827E-7
1.132333E-1	3.567667E-7
1.152225E-1	3.635558E-7
1.172203E-1	3.703989E-7
1.192468E-1	3.773616E-7
1.212430E-1	3.842465E-7
1.232357E-1	3.912191E-7
1.252287E-1	3.981640E-7
1.272232E-1	4.050985E-7
1.292204E-1	4.120273E-7
1.312499E-1	4.191518E-7
1.332440E-1	4.261370E-7
1.352331E-1	4.332026E-7
1.372335E-1	4.402232E-7
1.392956E-1	4.474574E-7
1.412935E-1	4.546133E-7
1.432876E-1	4.616890E-7
1.452831E-1	4.687136E-7
1.472755E-1	4.758250E-7
1.493026E-1	4.832161E-7
1.513014E-1	4.903187E-7
1.532943E-1	4.974957E-7
1.552903E-1	5.046609E-7
1.572832E-1	5.118557E-7
1.592764E-1	5.190738E-7
1.613039E-1	5.265489E-7
