Voltage (V)	Current (A)
4.999857E-1	1.870804E-6
4.979601E-1	1.861730E-6
4.959662E-1	1.852813E-6
4.939713E-1	1.844112E-6
4.919757E-1	1.835329E-6
4.899829E-1	1.826251E-6
4.879836E-1	1.817610E-6
4.859289E-1	1.808429E-6
4.839307E-1	1.799692E-6
4.819348E-1	1.790439E-6
4.799089E-1	1.780914E-6
4.779127E-1	1.772397E-6
4.759204E-1	1.763512E-6
4.739246E-1	1.754975E-6
4.719300E-1	1.746098E-6
4.699399E-1	1.736997E-6
4.679116E-1	1.728277E-6
4.659147E-1	1.719442E-6
4.639200E-1	1.710415E-6
4.618909E-1	1.701746E-6
4.598641E-1	1.692830E-6
4.578708E-1	1.684069E-6
4.558777E-1	1.675385E-6
4.538831E-1	1.666433E-6
4.518901E-1	1.658087E-6
4.498638E-1	1.649054E-6
4.478652E-1	1.640215E-6
4.458693E-1	1.631897E-6
4.438772E-1	1.623218E-6
4.418823E-1	1.614830E-6
4.398864E-1	1.606494E-6
4.378584E-1	1.597403E-6
4.358322E-1	1.589025E-6
4.338374E-1	1.580205E-6
4.318444E-1	1.571553E-6
4.298154E-1	1.562750E-6
4.278209E-1	1.554253E-6
4.258265E-1	1.545585E-6
4.238346E-1	1.537327E-6
4.218333E-1	1.528377E-6
4.198099E-1	1.519732E-6
4.178176E-1	1.511061E-6
4.158218E-1	1.502495E-6
4.138225E-1	1.493750E-6
4.117635E-1	1.484708E-6
4.097717E-1	1.476479E-6
4.077743E-1	1.467827E-6
4.057766E-1	1.459376E-6
4.037868E-1	1.450939E-6
4.017917E-1	1.442305E-6
3.997628E-1	1.433699E-6
3.977718E-1	1.425526E-6
3.957732E-1	1.416966E-6
3.937778E-1	1.408222E-6
3.917888E-1	1.399829E-6
3.897592E-1	1.391401E-6
3.877643E-1	1.382993E-6
3.857386E-1	1.374604E-6
3.837430E-1	1.366049E-6
3.817182E-1	1.357497E-6
3.797215E-1	1.349282E-6
3.777270E-1	1.340961E-6
3.757343E-1	1.332626E-6
3.737341E-1	1.324182E-6
3.717439E-1	1.316133E-6
3.697138E-1	1.307494E-6
3.677193E-1	1.299211E-6
3.657239E-1	1.290903E-6
3.637320E-1	1.282534E-6
3.616721E-1	1.274116E-6
3.596730E-1	1.265737E-6
3.576842E-1	1.257492E-6
3.556877E-1	1.249236E-6
3.536916E-1	1.240884E-6
3.516618E-1	1.232494E-6
3.496670E-1	1.223994E-6
3.476760E-1	1.215777E-6
3.456815E-1	1.207648E-6
