Voltage (V)	Current (A)
-5.000753E-1	-1.601347E-6
-4.980816E-1	-1.593286E-6
-4.960583E-1	-1.585575E-6
-4.940592E-1	-1.577724E-6
-4.920660E-1	-1.569824E-6
-4.900711E-1	-1.562021E-6
-4.880765E-1	-1.554127E-6
-4.860146E-1	-1.546037E-6
-4.840157E-1	-1.538327E-6
-4.820235E-1	-1.530557E-6
-4.800314E-1	-1.523084E-6
-4.780321E-1	-1.515220E-6
-4.760020E-1	-1.507490E-6
-4.740118E-1	-1.499423E-6
-4.720173E-1	-1.491392E-6
-4.700253E-1	-1.483886E-6
-4.680298E-1	-1.476737E-6
-4.660331E-1	-1.468786E-6
-4.640035E-1	-1.460833E-6
-4.619791E-1	-1.453004E-6
-4.599835E-1	-1.445622E-6
-4.579544E-1	-1.437800E-6
-4.559596E-1	-1.430219E-6
-4.539671E-1	-1.422317E-6
-4.519731E-1	-1.414958E-6
-4.499777E-1	-1.407036E-6
-4.479793E-1	-1.399519E-6
-4.459859E-1	-1.391970E-6
-4.439575E-1	-1.384078E-6
-4.419633E-1	-1.376740E-6
-4.399655E-1	-1.369227E-6
-4.379736E-1	-1.361889E-6
-4.359132E-1	-1.353916E-6
-4.339172E-1	-1.346451E-6
-4.319195E-1	-1.338763E-6
-4.299264E-1	-1.331507E-6
-4.279345E-1	-1.323836E-6
-4.259066E-1	-1.316183E-6
-4.239075E-1	-1.308609E-6
-4.219101E-1	-1.301008E-6
-4.199186E-1	-1.293826E-6
-4.179243E-1	-1.286240E-6
-4.159302E-1	-1.278890E-6
-4.139000E-1	-1.271283E-6
-4.118708E-1	-1.263625E-6
-4.098754E-1	-1.256434E-6
-4.078498E-1	-1.249019E-6
-4.058517E-1	-1.241603E-6
-4.038603E-1	-1.234221E-6
-4.018660E-1	-1.226789E-6
-3.998694E-1	-1.219500E-6
-3.978772E-1	-1.212079E-6
-3.958809E-1	-1.204726E-6
-3.938523E-1	-1.197387E-6
-3.918610E-1	-1.189903E-6
-3.898637E-1	-1.182578E-6
-3.878707E-1	-1.175224E-6
-3.858088E-1	-1.167750E-6
-3.838153E-1	-1.160442E-6
-3.818197E-1	-1.153201E-6
-3.798235E-1	-1.145949E-6
-3.778291E-1	-1.138531E-6
-3.758020E-1	-1.131335E-6
-3.738099E-1	-1.124140E-6
-3.718109E-1	-1.116798E-6
-3.698179E-1	-1.109656E-6
-3.678196E-1	-1.102588E-6
-3.658295E-1	-1.095329E-6
-3.638011E-1	-1.087919E-6
-3.617702E-1	-1.080823E-6
-3.597768E-1	-1.073596E-6
-3.577848E-1	-1.066754E-6
-3.557537E-1	-1.059475E-6
-3.537555E-1	-1.052240E-6
-3.517632E-1	-1.045191E-6
-3.497706E-1	-1.038060E-6
-3.477759E-1	-1.030758E-6
-3.457765E-1	-1.023724E-6
-3.437498E-1	-1.016666E-6
-3.417531E-1	-1.009773E-6
-3.397597E-1	-1.002536E-6
-3.378072E-1	-9.954041E-7
-3.357430E-1	-9.881829E-7
-3.337504E-1	-9.813278E-7
-3.317579E-1	-9.742317E-7
-3.297636E-1	-9.673666E-7
-3.277659E-1	-9.604986E-7
-3.257371E-1	-9.531224E-7
-3.237438E-1	-9.462094E-7
-3.217494E-1	-9.393975E-7
-3.197526E-1	-9.324947E-7
-3.177601E-1	-9.256179E-7
-3.157662E-1	-9.187677E-7
-3.137359E-1	-9.116762E-7
-3.117076E-1	-9.046050E-7
-3.097108E-1	-8.977194E-7
-3.077137E-1	-8.908432E-7
-3.056916E-1	-8.837751E-7
-3.036955E-1	-8.769755E-7
-3.016962E-1	-8.701056E-7
-2.997011E-1	-8.632400E-7
-2.977108E-1	-8.565372E-7
-2.957158E-1	-8.498909E-7
-2.936822E-1	-8.429235E-7
-2.916890E-1	-8.361990E-7
-2.896942E-1	-8.295291E-7
-2.877001E-1	-8.227961E-7
-2.856349E-1	-8.158466E-7
-2.836402E-1	-8.091215E-7
-2.816446E-1	-8.023263E-7
-2.796529E-1	-7.956560E-7
-2.776542E-1	-7.889961E-7
-2.756245E-1	-7.822341E-7
-2.736274E-1	-7.755413E-7
-2.716371E-1	-7.689965E-7
-2.696414E-1	-7.623765E-7
-2.676429E-1	-7.558650E-7
-2.656503E-1	-7.491333E-7
-2.636238E-1	-7.424100E-7
-2.615946E-1	-7.355812E-7
-2.595979E-1	-7.290928E-7
-2.576063E-1	-7.225073E-7
-2.555756E-1	-7.158343E-7
-2.535799E-1	-7.093304E-7
-2.515901E-1	-7.028141E-7
-2.495911E-1	-6.962862E-7
-2.475975E-1	-6.899907E-7
-2.456051E-1	-6.834803E-7
-2.435769E-1	-6.767976E-7
-2.415783E-1	-6.704346E-7
-2.395820E-1	-6.639855E-7
-2.375921E-1	-6.575698E-7
-2.355268E-1	-6.509211E-7
-2.335301E-1	-6.445494E-7
-2.315334E-1	-6.382226E-7
-2.295407E-1	-6.318288E-7
-2.275492E-1	-6.254775E-7
-2.255182E-1	-6.190498E-7
-2.235229E-1	-6.127324E-7
-2.215283E-1	-6.063511E-7
-2.195330E-1	-6.001385E-7
-2.175366E-1	-5.937836E-7
-2.155421E-1	-5.875590E-7
-2.135447E-1	-5.813185E-7
-2.114870E-1	-5.748303E-7
-2.094915E-1	-5.685943E-7
-2.074933E-1	-5.624763E-7
-2.054659E-1	-5.562132E-7
-2.034654E-1	-5.499317E-7
-2.014759E-1	-5.438808E-7
-1.994759E-1	-5.376290E-7
-1.974864E-1	-5.314451E-7
-1.954926E-1	-5.253765E-7
-1.934634E-1	-5.191025E-7
-1.914690E-1	-5.130464E-7
-1.894702E-1	-5.069773E-7
-1.874795E-1	-5.010126E-7
-1.854167E-1	-4.947404E-7
-1.834254E-1	-4.887121E-7
-1.814251E-1	-4.826696E-7
-1.794308E-1	-4.767151E-7
-1.774332E-1	-4.706805E-7
-1.754075E-1	-4.646248E-7
-1.734145E-1	-4.587028E-7
-1.714157E-1	-4.526487E-7
-1.694229E-1	-4.467387E-7
-1.674269E-1	-4.407808E-7
-1.654315E-1	-4.349415E-7
-1.634336E-1	-4.290113E-7
-1.613744E-1	-4.230188E-7
-1.593828E-1	-4.171072E-7
-1.573888E-1	-4.112844E-7
-1.553550E-1	-4.054481E-7
-1.533596E-1	-3.996289E-7
-1.513619E-1	-3.938028E-7
-1.493713E-1	-3.880734E-7
-1.473760E-1	-3.822832E-7
-1.453787E-1	-3.765677E-7
-1.433496E-1	-3.707189E-7
-1.413576E-1	-3.650991E-7
-1.393621E-1	-3.594427E-7
-1.373627E-1	-3.537828E-7
-1.353020E-1	-3.479591E-7
-1.333095E-1	-3.423251E-7
-1.313097E-1	-3.367297E-7
-1.293126E-1	-3.310865E-7
-1.273222E-1	-3.255108E-7
-1.253245E-1	-3.199827E-7
-1.232956E-1	-3.143408E-7
-1.213011E-1	-3.088133E-7
-1.193073E-1	-3.033387E-7
-1.173106E-1	-2.978549E-7
-1.153181E-1	-2.923538E-7
-1.133222E-1	-2.869155E-7
-1.112602E-1	-2.813220E-7
-1.092642E-1	-2.758627E-7
-1.072755E-1	-2.704382E-7
-1.052465E-1	-2.649593E-7
-1.032475E-1	-2.595483E-7
-1.012573E-1	-2.542620E-7
-9.925742E-2	-2.488575E-7
-9.726091E-2	-2.434747E-7
-9.526543E-2	-2.382781E-7
-9.323730E-2	-2.328261E-7
-9.124736E-2	-2.275938E-7
-8.924897E-2	-2.222965E-7
-8.725611E-2	-2.170581E-7
-8.519071E-2	-2.116815E-7
-8.319469E-2	-2.064157E-7
-8.120330E-2	-2.012490E-7
-7.920814E-2	-1.961169E-7
-7.720445E-2	-1.909500E-7
-7.521906E-2	-1.857702E-7
-7.318734E-2	-1.805870E-7
-7.119459E-2	-1.754072E-7
-6.919658E-2	-1.702960E-7
-6.719878E-2	-1.652509E-7
-6.520829E-2	-1.602103E-7
-6.321009E-2	-1.551585E-7
-6.114814E-2	-1.499210E-7
-5.915116E-2	-1.449079E-7
-5.715838E-2	-1.399245E-7
-5.513224E-2	-1.348270E-7
-5.313815E-2	-1.298647E-7
-5.114393E-2	-1.248656E-7
-4.914736E-2	-1.198995E-7
-4.715407E-2	-1.149694E-7
-4.515755E-2	-1.100108E-7
-4.312233E-2	-1.050086E-7
-4.113409E-2	-1.001017E-7
-3.913808E-2	-9.515978E-8
-3.714870E-2	-9.028835E-8
-3.508021E-2	-8.521371E-8
-3.308664E-2	-8.034669E-8
-3.109096E-2	-7.545241E-8
-2.909558E-2	-7.060062E-8
-2.710139E-2	-6.571567E-8
-2.510595E-2	-6.085445E-8
-2.307853E-2	-5.593402E-8
-2.108165E-2	-5.105092E-8
-1.908633E-2	-4.621837E-8
-1.708631E-2	-4.136746E-8
-1.509810E-2	-3.648653E-8
-1.309919E-2	-3.163728E-8
-1.104066E-2	-2.664492E-8
-9.043786E-3	-2.178803E-8
-7.047304E-3	-1.693153E-8
-5.019471E-3	-1.201838E-8
-3.027654E-3	-7.146778E-9
-1.036757E-3	-2.281463E-9
9.551323E-4	2.613239E-9
2.953916E-3	7.427456E-9
4.984017E-3	1.243643E-8
6.975192E-3	1.728792E-8
8.977666E-3	2.220069E-8
1.096614E-2	2.709814E-8
1.296124E-2	3.200171E-8
1.501836E-2	3.710687E-8
1.701909E-2	4.206007E-8
1.901454E-2	4.702398E-8
2.100728E-2	5.198230E-8
2.303275E-2	5.702043E-8
2.502734E-2	6.205561E-8
2.702338E-2	6.707015E-8
2.902273E-2	7.208917E-8
3.101406E-2	7.715823E-8
3.300596E-2	8.217961E-8
3.504140E-2	8.733276E-8
3.703481E-2	9.245638E-8
3.906315E-2	9.767781E-8
4.109081E-2	1.028609E-7
4.308338E-2	1.080322E-7
4.508176E-2	1.131862E-7
4.706961E-2	1.183823E-7
4.906474E-2	1.235931E-7
5.105911E-2	1.288470E-7
5.308885E-2	1.341862E-7
5.508695E-2	1.394691E-7
5.707689E-2	1.447412E-7
5.907143E-2	1.500677E-7
6.106655E-2	1.553944E-7
6.313426E-2	1.609303E-7
6.512289E-2	1.662953E-7
6.711771E-2	1.717178E-7
6.911310E-2	1.771463E-7
7.114407E-2	1.827033E-7
7.313794E-2	1.881570E-7
7.512880E-2	1.936602E-7
7.712373E-2	1.991515E-7
7.911883E-2	2.046703E-7
8.111440E-2	2.102560E-7
8.314437E-2	2.158986E-7
8.513632E-2	2.215747E-7
8.713441E-2	2.272163E-7
8.919503E-2	2.330786E-7
9.119161E-2	2.387410E-7
9.317751E-2	2.443929E-7
9.517901E-2	2.501051E-7
9.717374E-2	2.558319E-7
9.916543E-2	2.615876E-7
1.011952E-1	2.674863E-7
1.031916E-1	2.733714E-7
1.051869E-1	2.791531E-7
1.071767E-1	2.850177E-7
1.091747E-1	2.908778E-7
1.111664E-1	2.967781E-7
1.132318E-1	3.029033E-7
1.152246E-1	3.088361E-7
1.172187E-1	3.147946E-7
1.192494E-1	3.208779E-7
1.212419E-1	3.268619E-7
1.232374E-1	3.329124E-7
1.252274E-1	3.388920E-7
1.272227E-1	3.449842E-7
1.292170E-1	3.510532E-7
1.312485E-1	3.572384E-7
1.332405E-1	3.633165E-7
1.352335E-1	3.694278E-7
1.372316E-1	3.755796E-7
1.392946E-1	3.819681E-7
1.412916E-1	3.882215E-7
1.432832E-1	3.944872E-7
1.452809E-1	4.007838E-7
1.472726E-1	4.070723E-7
1.493018E-1	4.133919E-7
1.513000E-1	4.197426E-7
1.532928E-1	4.260083E-7
1.552896E-1	4.323315E-7
1.572845E-1	4.386248E-7
1.592737E-1	4.450897E-7
1.613038E-1	4.516349E-7
1.633289E-1	4.581095E-7
1.653280E-1	4.644142E-7
1.673589E-1	4.709986E-7
1.693501E-1	4.775664E-7
1.713460E-1	4.839212E-7
1.733440E-1	4.903836E-7
1.753379E-1	4.969647E-7
1.773318E-1	5.035459E-7
1.793600E-1	5.101448E-7
1.813519E-1	5.165961E-7
1.833499E-1	5.232120E-7
1.853412E-1	5.297624E-7
1.873362E-1	5.363828E-7
1.893979E-1	5.432295E-7
1.913938E-1	5.499116E-7
1.933870E-1	5.565653E-7
1.953810E-1	5.631516E-7
1.974070E-1	5.700131E-7
1.994054E-1	5.768407E-7
2.014013E-1	5.835782E-7
2.033906E-1	5.902353E-7
2.053875E-1	5.971008E-7
2.073853E-1	6.037832E-7
2.094118E-1	6.107040E-7
2.114040E-1	6.174513E-7
2.134325E-1	6.244470E-7
2.154609E-1	6.313293E-7
2.174521E-1	6.381300E-7
2.194563E-1	6.450125E-7
2.214467E-1	6.519505E-7
2.234407E-1	6.587414E-7
2.254375E-1	6.656501E-7
2.274654E-1	6.727267E-7
2.294591E-1	6.795632E-7
2.314533E-1	6.865702E-7
2.334485E-1	6.936112E-7
2.354438E-1	7.005536E-7
2.374364E-1	7.074984E-7
2.394955E-1	7.148485E-7
2.414961E-1	7.218033E-7
2.434859E-1	7.288934E-7
2.455190E-1	7.359043E-7
2.475114E-1	7.429789E-7
2.495047E-1	7.500024E-7
2.514987E-1	7.571883E-7
2.534960E-1	7.643577E-7
2.554896E-1	7.714398E-7
2.575179E-1	7.786196E-7
2.595116E-1	7.858273E-7
2.615086E-1	7.929781E-7
2.635676E-1	8.004765E-7
2.655605E-1	8.075688E-7
2.675536E-1	8.146535E-7
2.695487E-1	8.219548E-7
2.715400E-1	8.290963E-7
2.735411E-1	8.363201E-7
2.755689E-1	8.437184E-7
2.775674E-1	8.509106E-7
2.795587E-1	8.581612E-7
2.815507E-1	8.654142E-7
2.835458E-1	8.727337E-7
2.855450E-1	8.800301E-7
2.875719E-1	8.874550E-7
2.896012E-1	8.950258E-7
2.915910E-1	9.024332E-7
2.936269E-1	9.099110E-7
2.956145E-1	9.172384E-7
2.976127E-1	9.245559E-7
2.996072E-1	9.319871E-7
3.015968E-1	9.391352E-7
3.035958E-1	9.465029E-7
3.056234E-1	9.544061E-7
3.076199E-1	9.618374E-7
3.096148E-1	9.692856E-7
3.116111E-1	9.765603E-7
3.136729E-1	9.843334E-7
3.156669E-1	9.916498E-7
3.176616E-1	9.992286E-7
3.196557E-1	1.006816E-6
3.216477E-1	1.014279E-6
3.236765E-1	1.021837E-6
3.256719E-1	1.029356E-6
3.276621E-1	1.036904E-6
3.296647E-1	1.044595E-6
3.316177E-1	1.052024E-6
3.336125E-1	1.059712E-6
3.356406E-1	1.067167E-6
3.376340E-1	1.074840E-6
3.396593E-1	1.082455E-6
3.416879E-1	1.090213E-6
3.436863E-1	1.098012E-6
3.456810E-1	1.105611E-6
3.476767E-1	1.113332E-6
3.496650E-1	1.121115E-6
3.516622E-1	1.128695E-6
3.536903E-1	1.136763E-6
3.556862E-1	1.144361E-6
3.576815E-1	1.152174E-6
3.596739E-1	1.159686E-6
3.616696E-1	1.167491E-6
3.637313E-1	1.175346E-6
3.657252E-1	1.183270E-6
3.677174E-1	1.190957E-6
3.697119E-1	1.198673E-6
3.717433E-1	1.206553E-6
3.737361E-1	1.214274E-6
3.757295E-1	1.222108E-6
3.777236E-1	1.229879E-6
3.797181E-1	1.237751E-6
3.817145E-1	1.245780E-6
3.837408E-1	1.253331E-6
3.857334E-1	1.261266E-6
3.877297E-1	1.269013E-6
3.897567E-1	1.277220E-6
3.917855E-1	1.285537E-6
3.937787E-1	1.293402E-6
3.957735E-1	1.301400E-6
3.977671E-1	1.308977E-6
3.997626E-1	1.316924E-6
4.017892E-1	1.325303E-6
4.037828E-1	1.333202E-6
4.057755E-1	1.341554E-6
4.077734E-1	1.349346E-6
4.097690E-1	1.357422E-6
4.117619E-1	1.365059E-6
4.138228E-1	1.373650E-6
4.158209E-1	1.381378E-6
4.178132E-1	1.389685E-6
4.198070E-1	1.397721E-6
4.218341E-1	1.405667E-6
4.238307E-1	1.413836E-6
4.258275E-1	1.421840E-6
4.278148E-1	1.429890E-6
4.298106E-1	1.438237E-6
4.318422E-1	1.446199E-6
4.338355E-1	1.454162E-6
4.358319E-1	1.462273E-6
4.378206E-1	1.470310E-6
4.398831E-1	1.478783E-6
4.418813E-1	1.486831E-6
