Voltage (V)	Current (A)
4.999846E-1	1.818630E-6
4.979570E-1	1.810454E-6
4.959641E-1	1.801708E-6
4.939705E-1	1.792794E-6
4.919747E-1	1.784382E-6
4.899805E-1	1.775995E-6
4.879856E-1	1.767769E-6
4.859251E-1	1.758734E-6
4.839297E-1	1.750335E-6
4.819316E-1	1.741536E-6
4.799057E-1	1.733027E-6
4.779131E-1	1.724464E-6
4.759176E-1	1.716142E-6
4.739235E-1	1.707661E-6
4.719300E-1	1.699182E-6
4.699375E-1	1.690922E-6
4.679084E-1	1.682097E-6
4.659141E-1	1.673964E-6
4.639201E-1	1.665691E-6
4.618889E-1	1.656927E-6
4.598625E-1	1.648335E-6
4.578699E-1	1.639870E-6
4.558757E-1	1.631535E-6
4.538815E-1	1.622885E-6
4.518886E-1	1.614771E-6
4.498619E-1	1.606113E-6
4.478627E-1	1.597701E-6
4.458686E-1	1.589321E-6
4.438747E-1	1.581351E-6
4.418796E-1	1.572874E-6
4.398831E-1	1.564632E-6
4.378575E-1	1.555929E-6
4.358336E-1	1.547285E-6
4.338357E-1	1.539364E-6
4.318404E-1	1.531096E-6
4.298131E-1	1.522849E-6
4.278171E-1	1.514474E-6
4.258269E-1	1.506254E-6
4.238313E-1	1.497993E-6
4.218341E-1	1.489809E-6
4.198061E-1	1.481183E-6
4.178146E-1	1.472859E-6
4.158194E-1	1.464531E-6
4.138200E-1	1.456330E-6
4.117589E-1	1.447797E-6
4.097668E-1	1.439588E-6
4.077728E-1	1.431074E-6
4.057766E-1	1.423181E-6
4.037824E-1	1.415185E-6
4.017870E-1	1.407107E-6
3.997614E-1	1.398613E-6
3.977665E-1	1.390567E-6
3.957732E-1	1.382274E-6
3.937789E-1	1.374096E-6
3.917858E-1	1.366134E-6
3.897579E-1	1.357884E-6
3.877621E-1	1.349585E-6
3.857353E-1	1.341254E-6
3.837420E-1	1.333336E-6
3.817143E-1	1.325102E-6
3.797185E-1	1.317172E-6
3.777234E-1	1.309144E-6
3.757303E-1	1.300876E-6
3.737361E-1	1.292700E-6
3.717404E-1	1.285082E-6
3.697116E-1	1.276634E-6
3.677192E-1	1.268755E-6
3.657257E-1	1.260522E-6
3.637317E-1	1.252714E-6
3.616678E-1	1.244371E-6
3.596732E-1	1.236348E-6
3.576809E-1	1.228363E-6
3.556875E-1	1.220529E-6
3.536913E-1	1.212627E-6
3.516629E-1	1.204477E-6
3.496664E-1	1.196412E-6
3.476754E-1	1.188439E-6
3.456804E-1	1.180771E-6
3.436849E-1	1.172673E-6
3.416901E-1	1.164787E-6
3.396616E-1	1.157085E-6
3.376677E-1	1.148808E-6
3.356394E-1	1.141175E-6
3.336127E-1	1.132969E-6
3.316201E-1	1.125019E-6
3.296262E-1	1.117096E-6
3.276294E-1	1.109332E-6
3.256333E-1	1.101425E-6
3.236404E-1	1.093736E-6
3.216149E-1	1.085749E-6
3.196197E-1	1.078184E-6
3.176240E-1	1.070316E-6
3.156334E-1	1.062678E-6
3.136388E-1	1.054684E-6
3.115761E-1	1.046759E-6
3.095798E-1	1.039049E-6
3.075871E-1	1.031454E-6
3.055902E-1	1.023966E-6
3.035643E-1	1.015956E-6
3.015658E-1	1.008322E-6
2.995729E-1	1.000481E-6
