Voltage (V)	Current (A)
-5.000781E-1	-1.857055E-6
-4.980836E-1	-1.848823E-6
-4.960580E-1	-1.840084E-6
-4.940614E-1	-1.831715E-6
-4.920656E-1	-1.823402E-6
-4.900719E-1	-1.815024E-6
-4.880783E-1	-1.806961E-6
-4.860164E-1	-1.798222E-6
-4.840189E-1	-1.790059E-6
-4.820255E-1	-1.781760E-6
-4.800312E-1	-1.773330E-6
-4.780342E-1	-1.765040E-6
-4.760063E-1	-1.756903E-6
-4.740125E-1	-1.748583E-6
-4.720191E-1	-1.740192E-6
-4.700264E-1	-1.732105E-6
-4.680319E-1	-1.723854E-6
-4.660362E-1	-1.715731E-6
-4.640074E-1	-1.707390E-6
-4.619807E-1	-1.698677E-6
-4.599870E-1	-1.690269E-6
-4.579572E-1	-1.682378E-6
-4.559626E-1	-1.673932E-6
-4.539688E-1	-1.665589E-6
-4.519757E-1	-1.657541E-6
-4.499792E-1	-1.649481E-6
-4.479828E-1	-1.641306E-6
-4.459893E-1	-1.633337E-6
-4.439607E-1	-1.624795E-6
-4.419667E-1	-1.616744E-6
-4.399689E-1	-1.608434E-6
-4.379762E-1	-1.600276E-6
-4.359147E-1	-1.592024E-6
-4.339205E-1	-1.583870E-6
-4.319229E-1	-1.575581E-6
-4.299290E-1	-1.567423E-6
-4.279356E-1	-1.559268E-6
-4.259076E-1	-1.551080E-6
-4.239111E-1	-1.543058E-6
-4.219148E-1	-1.534937E-6
-4.199223E-1	-1.526502E-6
-4.179275E-1	-1.518483E-6
-4.159342E-1	-1.510300E-6
-4.139029E-1	-1.502386E-6
-4.118746E-1	-1.493963E-6
-4.098778E-1	-1.485940E-6
-4.078498E-1	-1.477779E-6
-4.058542E-1	-1.469656E-6
-4.038614E-1	-1.461859E-6
-4.018684E-1	-1.453931E-6
-3.998746E-1	-1.445879E-6
-3.978758E-1	-1.437866E-6
-3.958824E-1	-1.430112E-6
-3.938538E-1	-1.421860E-6
-3.918625E-1	-1.413801E-6
-3.898656E-1	-1.405948E-6
-3.878732E-1	-1.397833E-6
-3.858095E-1	-1.389779E-6
-3.838198E-1	-1.381585E-6
-3.818236E-1	-1.373894E-6
-3.798262E-1	-1.365732E-6
-3.778315E-1	-1.357829E-6
-3.758032E-1	-1.349577E-6
-3.738098E-1	-1.341556E-6
-3.718117E-1	-1.333910E-6
-3.698185E-1	-1.326230E-6
-3.678225E-1	-1.318067E-6
-3.658296E-1	-1.310360E-6
-3.638018E-1	-1.302390E-6
-3.617701E-1	-1.294158E-6
-3.597775E-1	-1.286404E-6
-3.577847E-1	-1.278405E-6
-3.557558E-1	-1.270167E-6
-3.537579E-1	-1.262512E-6
-3.517648E-1	-1.254624E-6
-3.497715E-1	-1.246779E-6
-3.477781E-1	-1.238979E-6
-3.457791E-1	-1.230814E-6
-3.437508E-1	-1.223064E-6
-3.417540E-1	-1.215209E-6
-3.397603E-1	-1.207543E-6
-3.377676E-1	-1.199624E-6
-3.357045E-1	-1.191827E-6
-3.337115E-1	-1.183995E-6
-3.317183E-1	-1.176275E-6
-3.297245E-1	-1.168448E-6
-3.277276E-1	-1.160726E-6
-3.256998E-1	-1.152483E-6
-3.237060E-1	-1.145078E-6
-3.217107E-1	-1.137515E-6
-3.197145E-1	-1.129686E-6
-3.177216E-1	-1.121895E-6
-3.157271E-1	-1.114108E-6
-3.137000E-1	-1.106423E-6
-3.116698E-1	-1.098496E-6
-3.096743E-1	-1.090835E-6
-3.076794E-1	-1.083196E-6
-3.056538E-1	-1.075091E-6
-3.036567E-1	-1.067463E-6
-3.016602E-1	-1.059833E-6
-2.996655E-1	-1.052267E-6
-2.976748E-1	-1.044652E-6
-2.956791E-1	-1.037138E-6
-2.936477E-1	-1.029211E-6
-2.916549E-1	-1.021851E-6
-2.896602E-1	-1.014160E-6
-2.876633E-1	-1.006326E-6
-2.856426E-1	-9.986683E-7
-2.836488E-1	-9.911455E-7
-2.816550E-1	-9.833752E-7
-2.796597E-1	-9.756227E-7
-2.776627E-1	-9.682840E-7
-2.756331E-1	-9.605117E-7
-2.736382E-1	-9.530627E-7
-2.716436E-1	-9.455361E-7
-2.696496E-1	-9.380157E-7
-2.676508E-1	-9.305049E-7
-2.656603E-1	-9.229734E-7
-2.636318E-1	-9.154274E-7
-2.616052E-1	-9.076458E-7
-2.596073E-1	-9.002566E-7
-2.576127E-1	-8.927042E-7
-2.555839E-1	-8.852134E-7
-2.535894E-1	-8.776844E-7
-2.515959E-1	-8.703331E-7
-2.496000E-1	-8.629120E-7
-2.476075E-1	-8.554587E-7
-2.456116E-1	-8.480078E-7
-2.435842E-1	-8.403654E-7
-2.415871E-1	-8.330243E-7
-2.395910E-1	-8.256318E-7
-2.375981E-1	-8.182215E-7
-2.355337E-1	-8.106429E-7
-2.335354E-1	-8.033085E-7
-2.315421E-1	-7.958877E-7
-2.295482E-1	-7.885492E-7
-2.275548E-1	-7.813456E-7
-2.255252E-1	-7.737981E-7
-2.235310E-1	-7.663950E-7
-2.215340E-1	-7.591588E-7
-2.195414E-1	-7.517758E-7
-2.175460E-1	-7.444445E-7
-2.155503E-1	-7.372050E-7
-2.135537E-1	-7.298740E-7
-2.114942E-1	-7.224932E-7
-2.094989E-1	-7.151364E-7
-2.075012E-1	-7.077933E-7
-2.054706E-1	-7.003696E-7
-2.034755E-1	-6.931821E-7
-2.014839E-1	-6.858805E-7
-1.994838E-1	-6.787296E-7
-1.974932E-1	-6.715123E-7
-1.954981E-1	-6.644474E-7
-1.934711E-1	-6.568383E-7
-1.914766E-1	-6.499089E-7
-1.894781E-1	-6.426839E-7
-1.874857E-1	-6.354810E-7
-1.854223E-1	-6.281428E-7
-1.834284E-1	-6.210599E-7
-1.814325E-1	-6.138910E-7
-1.794391E-1	-6.067531E-7
-1.774416E-1	-5.996278E-7
-1.754147E-1	-5.924143E-7
-1.734222E-1	-5.853407E-7
-1.714232E-1	-5.782589E-7
