Voltage (V)	Current (A)
4.999856E-1	1.882975E-6
4.979580E-1	1.874290E-6
4.959638E-1	1.865842E-6
4.939688E-1	1.857639E-6
4.919744E-1	1.849267E-6
4.899805E-1	1.840476E-6
4.879846E-1	1.831244E-6
4.859250E-1	1.822547E-6
4.839296E-1	1.814496E-6
4.819339E-1	1.805799E-6
4.799050E-1	1.797321E-6
4.779127E-1	1.788775E-6
4.759184E-1	1.780505E-6
4.739229E-1	1.771908E-6
4.719301E-1	1.763466E-6
4.699397E-1	1.755018E-6
4.679100E-1	1.746988E-6
4.659130E-1	1.738303E-6
4.639190E-1	1.729918E-6
4.618891E-1	1.720963E-6
4.598640E-1	1.712571E-6
4.578696E-1	1.704389E-6
4.558756E-1	1.695916E-6
4.538812E-1	1.687464E-6
4.518863E-1	1.678956E-6
4.498615E-1	1.670559E-6
4.478642E-1	1.662156E-6
4.458703E-1	1.653901E-6
4.438779E-1	1.645411E-6
4.418824E-1	1.636748E-6
4.398847E-1	1.629130E-6
4.378581E-1	1.620435E-6
4.358326E-1	1.611881E-6
4.338373E-1	1.603292E-6
4.318425E-1	1.594897E-6
4.298123E-1	1.586808E-6
4.278171E-1	1.578065E-6
4.258267E-1	1.570185E-6
4.238302E-1	1.561733E-6
4.218349E-1	1.553301E-6
4.198084E-1	1.544795E-6
4.178158E-1	1.536829E-6
4.158193E-1	1.528614E-6
4.138223E-1	1.519948E-6
4.117601E-1	1.511517E-6
4.097688E-1	1.503270E-6
4.077720E-1	1.494648E-6
4.057764E-1	1.486452E-6
4.037818E-1	1.478553E-6
4.017909E-1	1.470015E-6
3.997617E-1	1.462060E-6
3.977698E-1	1.453740E-6
3.957725E-1	1.445349E-6
3.937784E-1	1.437315E-6
3.917857E-1	1.428968E-6
3.897588E-1	1.420549E-6
3.877623E-1	1.412431E-6
3.857349E-1	1.403899E-6
3.837432E-1	1.395965E-6
3.817152E-1	1.387748E-6
3.797197E-1	1.379520E-6
3.777232E-1	1.371368E-6
3.757307E-1	1.363049E-6
3.737344E-1	1.355304E-6
3.717415E-1	1.346818E-6
3.697102E-1	1.338767E-6
3.677180E-1	1.330823E-6
3.657252E-1	1.322459E-6
3.637305E-1	1.314265E-6
3.616655E-1	1.306176E-6
3.596731E-1	1.297769E-6
3.576817E-1	1.289638E-6
3.556860E-1	1.282154E-6
3.536898E-1	1.273741E-6
3.516635E-1	1.265520E-6
3.496667E-1	1.257468E-6
3.476764E-1	1.249684E-6
3.456795E-1	1.241573E-6
3.436848E-1	1.233429E-6
3.416882E-1	1.225525E-6
3.396606E-1	1.217468E-6
3.376668E-1	1.209548E-6
3.356397E-1	1.201259E-6
3.336136E-1	1.193261E-6
3.316209E-1	1.185073E-6
3.296263E-1	1.176973E-6
3.276287E-1	1.169345E-6
3.256343E-1	1.161335E-6
3.236392E-1	1.153541E-6
3.216156E-1	1.145409E-6
3.196208E-1	1.137542E-6
3.176238E-1	1.129668E-6
3.156305E-1	1.121921E-6
3.136392E-1	1.113849E-6
3.115759E-1	1.105568E-6
3.095810E-1	1.097770E-6
3.075883E-1	1.089770E-6
3.055905E-1	1.081780E-6
3.035639E-1	1.073967E-6
3.015672E-1	1.065946E-6
2.995730E-1	1.058346E-6
2.975784E-1	1.050366E-6
2.955856E-1	1.042503E-6
2.935925E-1	1.035079E-6
2.915605E-1	1.026876E-6
2.895677E-1	1.019265E-6
2.875746E-1	1.011227E-6
2.855134E-1	1.003198E-6
2.835521E-1	9.955606E-7
2.815570E-1	9.878681E-7
2.795643E-1	9.801635E-7
2.775706E-1	9.723890E-7
2.755730E-1	9.646512E-7
2.735441E-1	9.568269E-7
2.715447E-1	9.491509E-7
2.695537E-1	9.414424E-7
2.675579E-1	9.336451E-7
2.655653E-1	9.259288E-7
2.635705E-1	9.182846E-7
2.615117E-1	9.102969E-7
2.595146E-1	9.028522E-7
2.575199E-1	8.951189E-7
2.554934E-1	8.873545E-7
2.534986E-1	8.796155E-7
2.515051E-1	8.719645E-7
2.495091E-1	8.642023E-7
2.475154E-1	8.565696E-7
2.455210E-1	8.490851E-7
2.434919E-1	8.414127E-7
2.414999E-1	8.338149E-7
2.395012E-1	8.263140E-7
2.375071E-1	8.187791E-7
2.354456E-1	8.108489E-7
2.334522E-1	8.033995E-7
2.314561E-1	7.957830E-7
2.294620E-1	7.881546E-7
2.274685E-1	7.806816E-7
2.254424E-1	7.733189E-7
2.234435E-1	7.656449E-7
2.214514E-1	7.581176E-7
2.194570E-1	7.506360E-7
2.174589E-1	7.432354E-7
2.154658E-1	7.358519E-7
2.134377E-1	7.282601E-7
2.114096E-1	7.207740E-7
2.094152E-1	7.133130E-7
2.073870E-1	7.057803E-7
2.053921E-1	6.983037E-7
2.033923E-1	6.909609E-7
2.014028E-1	6.836634E-7
1.994061E-1	6.762279E-7
1.974112E-1	6.688992E-7
1.953845E-1	6.614063E-7
1.933899E-1	6.540948E-7
1.913982E-1	6.467326E-7
1.894016E-1	6.393951E-7
1.874072E-1	6.320917E-7
1.853440E-1	6.246225E-7
1.833528E-1	6.173544E-7
1.813560E-1	6.100427E-7
1.793628E-1	6.026993E-7
1.773349E-1	5.953884E-7
1.753405E-1	5.881436E-7
1.733465E-1	5.809923E-7
1.713493E-1	5.736351E-7
1.693555E-1	5.664871E-7
1.673612E-1	5.593653E-7
1.653324E-1	5.520776E-7
1.633323E-1	5.448699E-7
1.613051E-1	5.375312E-7
1.592775E-1	5.303162E-7
1.572858E-1	5.231493E-7
1.552915E-1	5.160923E-7
1.532950E-1	5.090620E-7
1.513007E-1	5.019128E-7
1.493057E-1	4.947489E-7
