Voltage (V)	Current (A)
4.999839E-1	2.001754E-6
4.979560E-1	1.992996E-6
4.959625E-1	1.984026E-6
4.939698E-1	1.974873E-6
4.919738E-1	1.965885E-6
4.899807E-1	1.957336E-6
4.879849E-1	1.947917E-6
4.859239E-1	1.938816E-6
4.839298E-1	1.929666E-6
4.819320E-1	1.920543E-6
4.799049E-1	1.911823E-6
4.779120E-1	1.902809E-6
4.759178E-1	1.894245E-6
4.739229E-1	1.884716E-6
4.719299E-1	1.876127E-6
4.699373E-1	1.867434E-6
4.679089E-1	1.858362E-6
4.659126E-1	1.849321E-6
4.639190E-1	1.840735E-6
4.618884E-1	1.831825E-6
4.598623E-1	1.822295E-6
4.578687E-1	1.813679E-6
4.558742E-1	1.805034E-6
4.538807E-1	1.795967E-6
4.518862E-1	1.787292E-6
4.498591E-1	1.778384E-6
4.478612E-1	1.769555E-6
4.458678E-1	1.760144E-6
4.438772E-1	1.751811E-6
4.418806E-1	1.742645E-6
4.398843E-1	1.734004E-6
4.378571E-1	1.724795E-6
4.358314E-1	1.715843E-6
4.338349E-1	1.707273E-6
4.318409E-1	1.698608E-6
4.298122E-1	1.689745E-6
4.278167E-1	1.680821E-6
4.258249E-1	1.672288E-6
4.238300E-1	1.663079E-6
4.218346E-1	1.654950E-6
4.198059E-1	1.645705E-6
4.178127E-1	1.636763E-6
4.158211E-1	1.628259E-6
4.138234E-1	1.619545E-6
4.117615E-1	1.610774E-6
4.097687E-1	1.601797E-6
4.077710E-1	1.593260E-6
4.057746E-1	1.584396E-6
4.037805E-1	1.575718E-6
4.017869E-1	1.567133E-6
3.997614E-1	1.558074E-6
3.977713E-1	1.549432E-6
3.957726E-1	1.540924E-6
3.937782E-1	1.532236E-6
3.917872E-1	1.523676E-6
3.897583E-1	1.514882E-6
3.877625E-1	1.506251E-6
3.857357E-1	1.497704E-6
3.837421E-1	1.488848E-6
3.817134E-1	1.480225E-6
3.797168E-1	1.471572E-6
3.777222E-1	1.462688E-6
3.757288E-1	1.454412E-6
3.737363E-1	1.445580E-6
3.717410E-1	1.437327E-6
3.697110E-1	1.428621E-6
3.677189E-1	1.419911E-6
3.657257E-1	1.411379E-6
3.637305E-1	1.402591E-6
3.616676E-1	1.393777E-6
3.596711E-1	1.385344E-6
3.576796E-1	1.376990E-6
3.556865E-1	1.368448E-6
3.536892E-1	1.359837E-6
3.516612E-1	1.351351E-6
3.496661E-1	1.342717E-6
3.476754E-1	1.334466E-6
3.456800E-1	1.325819E-6
3.436843E-1	1.317743E-6
3.416889E-1	1.309106E-6
3.396616E-1	1.300623E-6
3.376671E-1	1.291968E-6
3.356388E-1	1.283329E-6
3.336111E-1	1.274755E-6
3.316196E-1	1.266283E-6
3.296275E-1	1.257996E-6
3.276281E-1	1.249472E-6
3.256318E-1	1.241109E-6
3.236412E-1	1.232576E-6
3.216137E-1	1.224304E-6
3.196205E-1	1.215895E-6
3.176233E-1	1.207471E-6
3.156312E-1	1.199109E-6
3.136389E-1	1.190704E-6
3.115765E-1	1.182090E-6
3.095788E-1	1.173863E-6
3.075848E-1	1.165462E-6
3.055912E-1	1.156912E-6
3.035629E-1	1.148827E-6
3.015654E-1	1.140290E-6
2.995720E-1	1.132024E-6
2.975765E-1	1.123839E-6
2.955849E-1	1.115332E-6
2.935916E-1	1.107344E-6
2.915620E-1	1.098485E-6
2.895684E-1	1.090330E-6
2.875744E-1	1.082255E-6
2.855135E-1	1.073563E-6
2.835163E-1	1.065321E-6
2.815216E-1	1.057212E-6
2.795301E-1	1.048921E-6
2.775355E-1	1.040977E-6
2.755380E-1	1.032763E-6
2.735091E-1	1.024393E-6
2.715102E-1	1.016188E-6
2.695190E-1	1.007967E-6
2.675602E-1	1.000040E-6
2.655664E-1	9.917168E-7
2.635719E-1	9.837803E-7
2.615135E-1	9.753180E-7
2.595162E-1	9.672031E-7
2.575208E-1	9.587934E-7
2.554954E-1	9.507401E-7
2.535013E-1	9.425293E-7
2.515074E-1	9.346477E-7
2.495085E-1	9.264122E-7
2.475180E-1	9.183014E-7
2.455245E-1	9.103572E-7
2.434937E-1	9.021205E-7
2.414995E-1	8.941181E-7
2.395031E-1	8.859972E-7
2.375098E-1	8.780198E-7
2.354485E-1	8.696207E-7
2.334537E-1	8.616547E-7
2.314563E-1	8.536585E-7
2.294628E-1	8.458548E-7
2.274701E-1	8.376400E-7
2.254416E-1	8.294361E-7
2.234456E-1	8.214915E-7
2.214509E-1	8.136271E-7
2.194598E-1	8.058063E-7
2.174604E-1	7.977407E-7
2.154667E-1	7.898892E-7
2.134379E-1	7.818357E-7
2.114109E-1	7.738944E-7
2.094179E-1	7.659148E-7
2.073876E-1	7.579299E-7
2.053930E-1	7.503330E-7
2.033948E-1	7.421944E-7
2.014040E-1	7.343905E-7
1.994086E-1	7.265929E-7
1.974129E-1	7.187129E-7
1.953863E-1	7.105725E-7
1.933908E-1	7.029778E-7
1.913989E-1	6.950842E-7
1.894008E-1	6.873151E-7
1.874080E-1	6.794186E-7
1.853463E-1	6.714452E-7
1.833532E-1	6.637411E-7
1.813568E-1	6.559433E-7
1.793632E-1	6.481209E-7
1.773353E-1	6.402914E-7
1.753406E-1	6.325776E-7
1.733466E-1	6.250273E-7
1.713483E-1	6.174161E-7
1.693553E-1	6.096516E-7
1.673623E-1	6.019879E-7
1.653331E-1	5.941357E-7
1.633321E-1	5.864927E-7
1.613062E-1	5.786992E-7
