Voltage (V)	Current (A)
9.999745E-1	1.911696E-6
9.959481E-1	1.895619E-6
9.919567E-1	1.879724E-6
9.879645E-1	1.863835E-6
9.839124E-1	1.847970E-6
9.799266E-1	1.832158E-6
9.758992E-1	1.816279E-6
9.719135E-1	1.800932E-6
9.678859E-1	1.785153E-6
9.639003E-1	1.769597E-6
9.598466E-1	1.753932E-6
9.558533E-1	1.738454E-6
9.518687E-1	1.723222E-6
9.478430E-1	1.708182E-6
9.438556E-1	1.692841E-6
9.398649E-1	1.677583E-6
9.358047E-1	1.662340E-6
9.318230E-1	1.647057E-6
9.278005E-1	1.631923E-6
9.238140E-1	1.616959E-6
9.198232E-1	1.602276E-6
9.157980E-1	1.587141E-6
9.117548E-1	1.571923E-6
9.077597E-1	1.557495E-6
9.037712E-1	1.542692E-6
8.997460E-1	1.527658E-6
8.957572E-1	1.513337E-6
8.917716E-1	1.499038E-6
8.877453E-1	1.484599E-6
8.837265E-1	1.469990E-6
8.796968E-1	1.455369E-6
8.757163E-1	1.441291E-6
8.717239E-1	1.427220E-6
8.677029E-1	1.412670E-6
8.637175E-1	1.398691E-6
8.596605E-1	1.384453E-6
8.556834E-1	1.370746E-6
8.516495E-1	1.356586E-6
8.476587E-1	1.342919E-6
8.436723E-1	1.329075E-6
8.396478E-1	1.315367E-6
8.356211E-1	1.301762E-6
8.316063E-1	1.288009E-6
8.276221E-1	1.274484E-6
8.236239E-1	1.260920E-6
8.196049E-1	1.247653E-6
8.156147E-1	1.234192E-6
8.115588E-1	1.220841E-6
8.075709E-1	1.207617E-6
8.035500E-1	1.194241E-6
7.995600E-1	1.181193E-6
7.955735E-1	1.168256E-6
7.915438E-1	1.155499E-6
7.875597E-1	1.142731E-6
7.835059E-1	1.129573E-6
7.795157E-1	1.116999E-6
7.755257E-1	1.104382E-6
7.715078E-1	1.091645E-6
7.675196E-1	1.079059E-6
7.635298E-1	1.066863E-6
7.594674E-1	1.054130E-6
7.554493E-1	1.041740E-6
7.514611E-1	1.029550E-6
7.474733E-1	1.017325E-6
7.434520E-1	1.005199E-6
7.394945E-1	9.933707E-7
7.354415E-1	9.815421E-7
7.314487E-1	9.697566E-7
7.274669E-1	9.580215E-7
7.234384E-1	9.462065E-7
7.194502E-1	9.346940E-7
7.154619E-1	9.230421E-7
7.114069E-1	9.114049E-7
7.073821E-1	8.997420E-7
7.033949E-1	8.885784E-7
6.994027E-1	8.771863E-7
6.953803E-1	8.659076E-7
6.913915E-1	8.548916E-7
6.873995E-1	8.437948E-7
6.833479E-1	8.325407E-7
6.793550E-1	8.218293E-7
6.753364E-1	8.108806E-7
6.713433E-1	8.001296E-7
6.673607E-1	7.894722E-7
6.633341E-1	7.787734E-7
6.592832E-1	7.681571E-7
6.552860E-1	7.578033E-7
6.513050E-1	7.474545E-7
6.472759E-1	7.371027E-7
6.432873E-1	7.268420E-7
6.393029E-1	7.167602E-7
6.352388E-1	7.065025E-7
6.312519E-1	6.965279E-7
6.272296E-1	6.867109E-7
6.232418E-1	6.769292E-7
6.192572E-1	6.671870E-7
6.152297E-1	6.575947E-7
6.111713E-1	6.476535E-7
6.071864E-1	6.382139E-7
6.031950E-1	6.287419E-7
5.991749E-1	6.194059E-7
5.951839E-1	6.100584E-7
5.911970E-1	6.009342E-7
5.871770E-1	5.917311E-7
5.831472E-1	5.827427E-7
5.791275E-1	5.737209E-7
5.751389E-1	5.648413E-7
5.711539E-1	5.560962E-7
5.671306E-1	5.473558E-7
5.631402E-1	5.386540E-7
5.590838E-1	5.300121E-7
5.550947E-1	5.214758E-7
5.510722E-1	5.130080E-7
5.470815E-1	5.046412E-7
5.430908E-1	4.964203E-7
5.390695E-1	4.880658E-7
5.350470E-1	4.799584E-7
5.310235E-1	4.718749E-7
5.270358E-1	4.639153E-7
5.230502E-1	4.561383E-7
5.190282E-1	4.482161E-7
5.150383E-1	4.405774E-7
5.109783E-1	4.327812E-7
5.069892E-1	4.251759E-7
5.029713E-1	4.176613E-7
4.989799E-1	4.102074E-7
4.949906E-1	4.028677E-7
4.909660E-1	3.954294E-7
4.869788E-1	3.882846E-7
4.829236E-1	3.808931E-7
4.789340E-1	3.738391E-7
4.749418E-1	3.668904E-7
4.709233E-1	3.599767E-7
4.669361E-1	3.530763E-7
4.629466E-1	3.462388E-7
4.588931E-1	3.394766E-7
4.548639E-1	3.328387E-7
4.508798E-1	3.261327E-7
4.468892E-1	3.196473E-7
4.428706E-1	3.131913E-7
4.388695E-1	3.067438E-7
4.348219E-1	3.004050E-7
4.308326E-1	2.941438E-7
