Voltage (V)	Current (A)
-1.000054E+0	-2.060117E-6
-9.960772E-1	-2.043201E-6
-9.920527E-1	-2.026160E-6
-9.880687E-1	-2.009291E-6
-9.840047E-1	-1.992200E-6
-9.800192E-1	-1.975649E-6
-9.760231E-1	-1.958650E-6
-9.720056E-1	-1.942125E-6
-9.680126E-1	-1.925543E-6
-9.640267E-1	-1.908848E-6
-9.599696E-1	-1.892025E-6
-9.559833E-1	-1.875617E-6
-9.519575E-1	-1.858994E-6
-9.479657E-1	-1.842772E-6
-9.439836E-1	-1.826546E-6
-9.399594E-1	-1.810000E-6
-9.359366E-1	-1.793689E-6
-9.319136E-1	-1.777400E-6
-9.279255E-1	-1.761243E-6
-9.239354E-1	-1.745018E-6
-9.199129E-1	-1.728848E-6
-9.159204E-1	-1.712855E-6
-9.118609E-1	-1.696585E-6
-9.078771E-1	-1.680755E-6
-9.038526E-1	-1.664935E-6
-8.998663E-1	-1.648963E-6
-8.958743E-1	-1.633360E-6
-8.918511E-1	-1.617558E-6
-8.878580E-1	-1.601900E-6
-8.838066E-1	-1.586053E-6
-8.798126E-1	-1.570844E-6
-8.758292E-1	-1.555316E-6
-8.718032E-1	-1.539718E-6
-8.678191E-1	-1.524232E-6
-8.638253E-1	-1.508771E-6
-8.597691E-1	-1.493443E-6
-8.557827E-1	-1.478107E-6
-8.517561E-1	-1.462904E-6
-8.477737E-1	-1.447979E-6
-8.437798E-1	-1.432902E-6
-8.397597E-1	-1.417543E-6
-8.357340E-1	-1.402805E-6
-8.317112E-1	-1.387798E-6
-8.277217E-1	-1.372818E-6
-8.237354E-1	-1.357875E-6
-8.197112E-1	-1.343256E-6
-8.157238E-1	-1.328602E-6
-8.116628E-1	-1.313630E-6
-8.076725E-1	-1.299281E-6
-8.036546E-1	-1.284733E-6
-7.996698E-1	-1.270194E-6
-7.956767E-1	-1.255694E-6
-7.916894E-1	-1.241461E-6
-7.876642E-1	-1.227145E-6
-7.836033E-1	-1.212629E-6
-7.796163E-1	-1.198577E-6
-7.756273E-1	-1.184634E-6
-7.716056E-1	-1.170474E-6
-7.676144E-1	-1.156663E-6
-7.636297E-1	-1.143134E-6
-7.595717E-1	-1.128750E-6
-7.555827E-1	-1.115120E-6
-7.515590E-1	-1.101430E-6
-7.475718E-1	-1.087814E-6
-7.435812E-1	-1.074305E-6
-7.395603E-1	-1.060626E-6
-7.355387E-1	-1.046958E-6
-7.315140E-1	-1.033521E-6
-7.275259E-1	-1.020416E-6
-7.235353E-1	-1.006978E-6
-7.195541E-1	-9.936736E-7
-7.155620E-1	-9.806422E-7
-7.115099E-1	-9.673886E-7
-7.075103E-1	-9.545643E-7
-7.035282E-1	-9.417782E-7
-6.995012E-1	-9.285223E-7
-6.955084E-1	-9.157775E-7
-6.915205E-1	-9.032796E-7
-6.875016E-1	-8.907527E-7
-6.834366E-1	-8.779096E-7
