Voltage (V)	Current (A)
-1.000067E+0	-1.868633E-6
-9.960758E-1	-1.852237E-6
-9.920541E-1	-1.835746E-6
-9.880626E-1	-1.819555E-6
-9.840074E-1	-1.803180E-6
-9.800200E-1	-1.786958E-6
-9.760239E-1	-1.770895E-6
-9.720022E-1	-1.754862E-6
-9.680211E-1	-1.738922E-6
-9.640348E-1	-1.722919E-6
-9.599679E-1	-1.706787E-6
-9.559813E-1	-1.690827E-6
-9.519551E-1	-1.675165E-6
-9.479624E-1	-1.659385E-6
-9.439779E-1	-1.643735E-6
-9.399574E-1	-1.627996E-6
-9.359329E-1	-1.612454E-6
-9.319086E-1	-1.596721E-6
-9.279233E-1	-1.581563E-6
-9.239277E-1	-1.565972E-6
-9.199124E-1	-1.550329E-6
-9.159238E-1	-1.535200E-6
-9.118580E-1	-1.519723E-6
-9.078759E-1	-1.504711E-6
-9.038521E-1	-1.489271E-6
-8.998681E-1	-1.474250E-6
-8.958748E-1	-1.459422E-6
-8.918497E-1	-1.444357E-6
-8.878605E-1	-1.429541E-6
-8.838050E-1	-1.414304E-6
-8.798150E-1	-1.399522E-6
-8.758289E-1	-1.384883E-6
-8.718109E-1	-1.370109E-6
-8.678187E-1	-1.355434E-6
-8.638361E-1	-1.340887E-6
-8.597706E-1	-1.326241E-6
-8.557827E-1	-1.311942E-6
-8.517616E-1	-1.297404E-6
-8.477712E-1	-1.283115E-6
-8.437744E-1	-1.268693E-6
-8.397570E-1	-1.254312E-6
-8.357315E-1	-1.240254E-6
-8.317139E-1	-1.226032E-6
-8.277177E-1	-1.211913E-6
-8.237305E-1	-1.197888E-6
-8.197082E-1	-1.184225E-6
-8.157164E-1	-1.170153E-6
-8.116679E-1	-1.156125E-6
-8.076747E-1	-1.142663E-6
-8.036521E-1	-1.128875E-6
-7.996647E-1	-1.115441E-6
-7.956747E-1	-1.101825E-6
-7.916954E-1	-1.088419E-6
-7.876666E-1	-1.075122E-6
-7.836039E-1	-1.061539E-6
-7.796149E-1	-1.048282E-6
-7.756253E-1	-1.035062E-6
-7.716112E-1	-1.021859E-6
-7.676170E-1	-1.008995E-6
-7.636706E-1	-9.958827E-7
-7.596090E-1	-9.831952E-7
-7.556177E-1	-9.702405E-7
-7.515963E-1	-9.575114E-7
-7.476073E-1	-9.447043E-7
-7.436131E-1	-9.322205E-7
-7.395998E-1	-9.196390E-7
-7.355737E-1	-9.068901E-7
-7.315505E-1	-8.944402E-7
-7.275658E-1	-8.821625E-7
-7.235688E-1	-8.699442E-7
-7.195472E-1	-8.577323E-7
-7.155531E-1	-8.459054E-7
-7.115023E-1	-8.337755E-7
-7.075075E-1	-8.219509E-7
-7.035177E-1	-8.099581E-7
-6.994972E-1	-7.982579E-7
-6.955100E-1	-7.865466E-7
-6.915132E-1	-7.749789E-7
-6.874934E-1	-7.632773E-7
-6.834335E-1	-7.517892E-7
-6.794411E-1	-7.404270E-7
-6.754601E-1	-7.291621E-7
-6.714302E-1	-7.179884E-7
-6.674446E-1	-7.069279E-7
-6.634530E-1	-6.958849E-7
-6.593965E-1	-6.848691E-7
-6.554106E-1	-6.740107E-7
-6.513850E-1	-6.632963E-7
-6.473902E-1	-6.526158E-7
-6.434025E-1	-6.421457E-7
-6.393853E-1	-6.316458E-7
-6.353603E-1	-6.212814E-7
-6.313304E-1	-6.109718E-7
-6.273415E-1	-6.008207E-7
-6.233569E-1	-5.907725E-7
-6.193288E-1	-5.807671E-7
-6.153430E-1	-5.707743E-7
-6.112832E-1	-5.609194E-7
-6.072990E-1	-5.513523E-7
-6.033051E-1	-5.418234E-7
-5.992877E-1	-5.323261E-7
-5.952905E-1	-5.230636E-7
-5.913064E-1	-5.137893E-7
-5.872824E-1	-5.047312E-7
-5.832276E-1	-4.954781E-7
-5.792297E-1	-4.865416E-7
-5.752496E-1	-4.777287E-7
-5.712239E-1	-4.690469E-7
-5.672323E-1	-4.604120E-7
-5.632434E-1	-4.519617E-7
-5.591770E-1	-4.435019E-7
-5.552006E-1	-4.353140E-7
-5.511767E-1	-4.270824E-7
-5.471836E-1	-4.190754E-7
-5.431868E-1	-4.111507E-7
-5.391696E-1	-4.032293E-7
-5.351419E-1	-3.955488E-7
-5.311226E-1	-3.878871E-7
-5.271332E-1	-3.804115E-7
-5.231465E-1	-3.730673E-7
-5.191240E-1	-3.657413E-7
-5.151308E-1	-3.586703E-7
-5.110726E-1	-3.514532E-7
-5.070879E-1	-3.445991E-7
-5.030913E-1	-3.377007E-7
-4.990682E-1	-3.310630E-7
-4.950862E-1	-3.244339E-7
-4.910930E-1	-3.179180E-7
-4.870704E-1	-3.114471E-7
-4.830123E-1	-3.051115E-7
-4.790224E-1	-2.988385E-7
-4.750280E-1	-2.927819E-7
-4.710459E-1	-2.868492E-7
-4.670224E-1	-2.809368E-7
-4.630280E-1	-2.751835E-7
-4.589782E-1	-2.692944E-7
-4.549842E-1	-2.637232E-7
-4.509658E-1	-2.583026E-7
-4.469737E-1	-2.528846E-7
-4.429831E-1	-2.475718E-7
-4.389592E-1	-2.423187E-7
-4.349367E-1	-2.371338E-7
-4.309169E-1	-2.320137E-7
-4.269198E-1	-2.270795E-7
-4.229353E-1	-2.221980E-7
-4.189109E-1	-2.173280E-7
-4.149209E-1	-2.126054E-7
-4.108661E-1	-2.078945E-7
-4.068743E-1	-2.032695E-7
-4.028825E-1	-1.987655E-7
-3.988678E-1	-1.942951E-7
-3.948705E-1	-1.899649E-7
-3.908864E-1	-1.857005E-7
-3.868561E-1	-1.813813E-7
-3.828070E-1	-1.772376E-7
-3.788128E-1	-1.732319E-7
-3.748247E-1	-1.691224E-7
-3.708321E-1	-1.651041E-7
-3.668101E-1	-1.612139E-7
-3.628183E-1	-1.573091E-7
-3.587668E-1	-1.535715E-7
-3.547764E-1	-1.498275E-7
-3.507507E-1	-1.462062E-7
-3.467624E-1	-1.425505E-7
-3.427753E-1	-1.389872E-7
-3.387495E-1	-1.354698E-7
-3.347254E-1	-1.319901E-7
-3.307025E-1	-1.285194E-7
-3.267127E-1	-1.252391E-7
-3.227236E-1	-1.219063E-7
-3.187009E-1	-1.186830E-7
-3.147198E-1	-1.155082E-7
-3.106574E-1	-1.123641E-7
-3.066691E-1	-1.092014E-7
-3.026729E-1	-1.062746E-7
-2.986549E-1	-1.032426E-7
-2.946648E-1	-1.002545E-7
-2.906755E-1	-9.741513E-8
-2.866468E-1	-9.457713E-8
-2.826283E-1	-9.172469E-8
-2.786052E-1	-8.894514E-8
-2.746090E-1	-8.629885E-8
-2.706189E-1	-8.363104E-8
-2.665984E-1	-8.100332E-8
-2.626067E-1	-7.846225E-8
-2.585543E-1	-7.590068E-8
-2.545731E-1	-7.345805E-8
-2.505422E-1	-7.099578E-8
-2.465570E-1	-6.864531E-8
-2.425711E-1	-6.633993E-8
-2.385739E-1	-6.406610E-8
-2.345179E-1	-6.181782E-8
-2.304923E-1	-5.958539E-8
-2.265018E-1	-5.752312E-8
-2.225168E-1	-5.539984E-8
-2.184926E-1	-5.337884E-8
-2.145046E-1	-5.137946E-8
-2.104439E-1	-4.940286E-8
-2.064541E-1	-4.747129E-8
-2.024669E-1	-4.561479E-8
-1.984442E-1	-4.387587E-8
-1.944550E-1	-4.208953E-8
-1.904668E-1	-4.038593E-8
-1.864060E-1	-3.863916E-8
-1.824182E-1	-3.706926E-8
-1.783962E-1	-3.550992E-8
-1.744065E-1	-3.393840E-8
-1.704181E-1	-3.248886E-8
-1.663940E-1	-3.103409E-8
-1.623996E-1	-2.968283E-8
-1.583519E-1	-2.825667E-8
-1.543528E-1	-2.695194E-8
-1.503378E-1	-2.567513E-8
