Voltage (V)	Current (A)
9.999660E-1	1.078558E-6
9.959498E-1	1.067135E-6
9.919553E-1	1.055593E-6
9.879671E-1	1.044461E-6
9.839100E-1	1.033137E-6
9.799216E-1	1.022066E-6
9.758977E-1	1.011021E-6
9.719487E-1	9.999178E-7
9.679222E-1	9.890919E-7
9.639322E-1	9.780919E-7
9.598750E-1	9.669927E-7
9.558833E-1	9.564400E-7
9.518986E-1	9.458521E-7
9.478732E-1	9.350151E-7
9.438850E-1	9.243850E-7
9.399008E-1	9.138656E-7
9.358452E-1	9.033254E-7
9.318511E-1	8.931087E-7
9.278291E-1	8.827061E-7
9.238384E-1	8.724617E-7
9.198564E-1	8.622017E-7
9.158227E-1	8.521284E-7
9.117823E-1	8.420276E-7
9.077806E-1	8.320427E-7
9.037946E-1	8.220929E-7
8.997704E-1	8.122048E-7
8.957893E-1	8.025182E-7
8.917957E-1	7.928824E-7
8.877725E-1	7.831714E-7
8.837516E-1	7.734356E-7
8.797231E-1	7.638232E-7
8.757434E-1	7.544386E-7
8.717534E-1	7.451757E-7
8.677255E-1	7.359195E-7
8.637375E-1	7.264640E-7
8.596815E-1	7.172848E-7
8.556891E-1	7.082538E-7
8.516694E-1	6.993052E-7
8.476788E-1	6.904169E-7
8.436899E-1	6.814626E-7
8.396702E-1	6.726427E-7
8.356442E-1	6.637561E-7
8.316237E-1	6.552777E-7
8.276442E-1	6.467889E-7
8.236484E-1	6.383142E-7
8.196239E-1	6.299790E-7
8.156300E-1	6.215382E-7
8.115771E-1	6.132641E-7
8.075952E-1	6.049759E-7
8.035683E-1	5.967879E-7
7.995759E-1	5.887252E-7
7.955913E-1	5.803728E-7
7.915658E-1	5.727671E-7
7.875748E-1	5.648952E-7
7.835252E-1	5.570532E-7
7.795338E-1	5.493040E-7
7.755473E-1	5.416517E-7
7.715297E-1	5.340102E-7
7.675254E-1	5.267610E-7
7.635502E-1	5.192828E-7
7.594900E-1	5.117105E-7
7.554654E-1	5.044376E-7
7.514788E-1	4.973613E-7
7.474905E-1	4.901977E-7
7.434693E-1	4.830563E-7
7.394786E-1	4.758949E-7
7.354264E-1	4.690767E-7
7.314345E-1	4.623091E-7
7.274520E-1	4.556147E-7
7.234233E-1	4.487911E-7
7.194323E-1	4.421240E-7
7.154434E-1	4.356686E-7
7.113827E-1	4.290738E-7
7.073691E-1	4.226112E-7
7.033710E-1	4.163017E-7
6.993873E-1	4.100375E-7
6.953664E-1	4.033516E-7
6.913747E-1	3.970773E-7
6.873794E-1	3.911664E-7
6.833250E-1	3.853060E-7
6.793365E-1	3.794104E-7
6.753154E-1	3.733419E-7
6.713249E-1	3.676182E-7
6.673419E-1	3.618915E-7
6.633168E-1	3.561393E-7
6.592724E-1	3.504271E-7
6.552726E-1	3.449500E-7
6.512871E-1	3.394736E-7
6.472586E-1	3.339325E-7
6.432688E-1	3.286613E-7
6.392853E-1	3.234214E-7
6.352288E-1	3.181195E-7
6.312411E-1	3.129455E-7
6.272169E-1	3.077824E-7
6.232288E-1	3.028365E-7
6.192433E-1	2.978440E-7
6.152183E-1	2.928783E-7
6.111573E-1	2.879902E-7
6.071713E-1	2.832321E-7
6.031816E-1	2.785563E-7
5.991663E-1	2.734424E-7
5.951700E-1	2.692531E-7
5.911835E-1	2.648062E-7
5.871593E-1	2.603713E-7
5.831397E-1	2.559350E-7
5.791197E-1	2.516262E-7
5.751257E-1	2.473218E-7
5.711430E-1	2.430960E-7
5.671172E-1	2.389551E-7
5.631289E-1	2.350724E-7
5.590758E-1	2.309417E-7
5.550822E-1	2.269946E-7
5.510561E-1	2.230302E-7
5.470713E-1	2.192858E-7
5.430806E-1	2.155358E-7
5.390601E-1	2.118509E-7
5.350363E-1	2.081632E-7
5.310168E-1	2.045959E-7
5.270277E-1	2.010504E-7
5.230410E-1	1.975475E-7
5.190213E-1	1.940444E-7
5.150265E-1	1.907213E-7
5.109789E-1	1.873838E-7
5.069829E-1	1.842197E-7
5.029659E-1	1.810145E-7
4.989671E-1	1.778594E-7
4.949856E-1	1.748172E-7
4.909630E-1	1.717318E-7
4.869716E-1	1.687561E-7
4.829156E-1	1.658475E-7
4.789247E-1	1.629637E-7
4.749368E-1	1.602052E-7
4.709176E-1	1.573658E-7
4.669316E-1	1.545948E-7
4.629335E-1	1.518361E-7
4.588826E-1	1.491897E-7
4.548663E-1	1.464393E-7
4.508767E-1	1.440894E-7
4.468884E-1	1.415285E-7
4.428653E-1	1.389914E-7
4.388721E-1	1.365363E-7
4.348190E-1	1.341369E-7
4.308237E-1	1.317615E-7
4.268389E-1	1.294072E-7
4.228167E-1	1.271136E-7
4.188233E-1	1.247456E-7
4.148430E-1	1.225482E-7
4.107780E-1	1.202853E-7
4.067558E-1	1.180747E-7
4.027737E-1	1.159753E-7
3.987866E-1	1.138408E-7
3.947565E-1	1.117661E-7
3.907762E-1	1.096610E-7
3.867903E-1	1.077012E-7
3.827392E-1	1.056436E-7
3.787378E-1	1.036288E-7
3.747194E-1	1.016625E-7
3.707266E-1	9.971087E-8
3.667471E-1	9.775582E-8
3.627195E-1	9.582976E-8
3.586561E-1	9.393095E-8
3.546714E-1	9.212649E-8
3.506817E-1	9.027949E-8
3.466615E-1	8.838838E-8
3.426722E-1	8.651294E-8
3.386804E-1	8.478509E-8
3.346229E-1	8.296982E-8
3.306361E-1	8.128322E-8
