Voltage (V)	Current (A)
-1.000058E+0	-1.465975E-6
-9.960729E-1	-1.450797E-6
-9.920483E-1	-1.435712E-6
-9.880664E-1	-1.421003E-6
-9.840028E-1	-1.406064E-6
-9.800150E-1	-1.391401E-6
-9.760265E-1	-1.376783E-6
-9.719945E-1	-1.362200E-6
-9.680108E-1	-1.347497E-6
-9.640238E-1	-1.333131E-6
-9.599722E-1	-1.318529E-6
-9.559801E-1	-1.304102E-6
-9.519584E-1	-1.289809E-6
-9.479648E-1	-1.275531E-6
-9.439695E-1	-1.261501E-6
-9.399588E-1	-1.247336E-6
-9.359323E-1	-1.233228E-6
-9.319105E-1	-1.219266E-6
-9.279239E-1	-1.205337E-6
-9.239309E-1	-1.191421E-6
-9.199028E-1	-1.177728E-6
-9.159181E-1	-1.163885E-6
-9.118607E-1	-1.150114E-6
-9.078723E-1	-1.136553E-6
-9.038509E-1	-1.122991E-6
-8.998632E-1	-1.109714E-6
-8.958729E-1	-1.096362E-6
-8.918486E-1	-1.082939E-6
-8.878567E-1	-1.069854E-6
-8.838034E-1	-1.056553E-6
-8.798168E-1	-1.043390E-6
-8.758272E-1	-1.030450E-6
-8.718055E-1	-1.017487E-6
-8.678169E-1	-1.004579E-6
-8.638646E-1	-9.917763E-7
-8.598076E-1	-9.790915E-7
-8.558224E-1	-9.665167E-7
-8.517887E-1	-9.539277E-7
-8.477958E-1	-9.415206E-7
-8.438187E-1	-9.291575E-7
-8.397958E-1	-9.167222E-7
-8.357653E-1	-9.044188E-7
-8.317487E-1	-8.921747E-7
-8.277572E-1	-8.800813E-7
-8.237685E-1	-8.681546E-7
-8.197402E-1	-8.563409E-7
-8.157530E-1	-8.444597E-7
-8.116981E-1	-8.326527E-7
-8.077042E-1	-8.209303E-7
-8.036858E-1	-8.092856E-7
-7.996917E-1	-7.978155E-7
-7.957060E-1	-7.864647E-7
-7.917184E-1	-7.751932E-7
-7.876837E-1	-7.638408E-7
-7.836245E-1	-7.525058E-7
-7.796461E-1	-7.415957E-7
-7.756547E-1	-7.306222E-7
-7.716398E-1	-7.197429E-7
-7.676494E-1	-7.089251E-7
-7.636594E-1	-6.982983E-7
-7.595952E-1	-6.874139E-7
-7.556072E-1	-6.769587E-7
-7.515828E-1	-6.664336E-7
-7.475966E-1	-6.561252E-7
-7.436082E-1	-6.458870E-7
-7.395899E-1	-6.356576E-7
-7.355623E-1	-6.255942E-7
-7.315311E-1	-6.154642E-7
-7.275534E-1	-6.056574E-7
-7.235590E-1	-5.958472E-7
-7.195328E-1	-5.861832E-7
-7.155420E-1	-5.766082E-7
-7.114872E-1	-5.669297E-7
-7.074980E-1	-5.575986E-7
-7.035066E-1	-5.483433E-7
-6.994755E-1	-5.391041E-7
-6.954911E-1	-5.300377E-7
-6.915077E-1	-5.210393E-7
-6.874801E-1	-5.121204E-7
-6.834241E-1	-5.031582E-7
-6.794312E-1	-4.945125E-7
-6.754453E-1	-4.859556E-7
-6.714216E-1	-4.773607E-7
-6.674330E-1	-4.689385E-7
-6.634412E-1	-4.607396E-7
-6.593893E-1	-4.523244E-7
-6.553966E-1	-4.442447E-7
-6.513764E-1	-4.361270E-7
-6.473826E-1	-4.282240E-7
-6.433956E-1	-4.204184E-7
-6.393735E-1	-4.127084E-7
-6.353514E-1	-4.049965E-7
-6.313229E-1	-3.974206E-7
-6.273345E-1	-3.900512E-7
-6.233543E-1	-3.827199E-7
-6.193159E-1	-3.754773E-7
-6.153315E-1	-3.683322E-7
-6.112731E-1	-3.612452E-7
-6.072958E-1	-3.542924E-7
-6.033015E-1	-3.474839E-7
-5.992715E-1	-3.407038E-7
-5.952885E-1	-3.341172E-7
-5.912902E-1	-3.275775E-7
-5.872760E-1	-3.210572E-7
-5.832151E-1	-3.146817E-7
-5.792289E-1	-3.083701E-7
-5.752399E-1	-3.022675E-7
-5.712144E-1	-2.960677E-7
-5.672212E-1	-2.902112E-7
-5.632367E-1	-2.843733E-7
-5.591745E-1	-2.784891E-7
-5.551897E-1	-2.728763E-7
-5.511656E-1	-2.672991E-7
-5.471746E-1	-2.617531E-7
-5.431871E-1	-2.563976E-7
-5.391623E-1	-2.510349E-7
-5.351294E-1	-2.457156E-7
-5.311157E-1	-2.406548E-7
-5.271239E-1	-2.355979E-7
-5.231277E-1	-2.306508E-7
-5.191144E-1	-2.257719E-7
-5.151221E-1	-2.209856E-7
-5.110654E-1	-2.162243E-7
-5.070776E-1	-2.116060E-7
-5.030947E-1	-2.071205E-7
-4.990557E-1	-2.026589E-7
-4.950783E-1	-1.983350E-7
-4.910868E-1	-1.941299E-7
-4.870691E-1	-1.899185E-7
-4.829976E-1	-1.857706E-7
-4.790191E-1	-1.817951E-7
-4.750254E-1	-1.778675E-7
-4.710320E-1	-1.739928E-7
-4.670150E-1	-1.702391E-7
-4.630176E-1	-1.665371E-7
-4.589700E-1	-1.628968E-7
