Voltage (V)	Current (A)
-1.000071E+0	-1.567665E-6
-9.960853E-1	-1.552035E-6
-9.920632E-1	-1.536457E-6
-9.880759E-1	-1.520918E-6
-9.840181E-1	-1.505396E-6
-9.800185E-1	-1.489949E-6
-9.760287E-1	-1.474399E-6
-9.720095E-1	-1.458984E-6
-9.680215E-1	-1.443923E-6
-9.640300E-1	-1.428773E-6
-9.599671E-1	-1.413469E-6
-9.559839E-1	-1.398428E-6
-9.519697E-1	-1.383556E-6
-9.479741E-1	-1.368906E-6
-9.439768E-1	-1.353889E-6
-9.399728E-1	-1.338986E-6
-9.359518E-1	-1.324021E-6
-9.319142E-1	-1.309494E-6
-9.279198E-1	-1.294909E-6
-9.239427E-1	-1.280320E-6
-9.199129E-1	-1.265860E-6
-9.159284E-1	-1.251449E-6
-9.118811E-1	-1.236968E-6
-9.078751E-1	-1.222784E-6
-9.038739E-1	-1.208257E-6
-8.998600E-1	-1.194183E-6
-8.958797E-1	-1.180160E-6
-8.918579E-1	-1.166188E-6
-8.878773E-1	-1.152339E-6
-8.838111E-1	-1.138409E-6
-8.798219E-1	-1.124591E-6
-8.758364E-1	-1.111106E-6
-8.718133E-1	-1.097443E-6
-8.678201E-1	-1.083706E-6
-8.638319E-1	-1.070314E-6
-8.597751E-1	-1.056802E-6
-8.557854E-1	-1.043674E-6
-8.517660E-1	-1.030444E-6
-8.477762E-1	-1.017387E-6
-8.437856E-1	-1.004010E-6
-8.398033E-1	-9.908813E-7
-8.357751E-1	-9.781581E-7
-8.317599E-1	-9.651501E-7
-8.277758E-1	-9.525593E-7
-8.237756E-1	-9.398960E-7
-8.197525E-1	-9.273104E-7
-8.157694E-1	-9.147483E-7
-8.117063E-1	-9.022788E-7
-8.077183E-1	-8.899470E-7
-8.037063E-1	-8.775899E-7
-7.996970E-1	-8.655556E-7
-7.957126E-1	-8.534714E-7
-7.917230E-1	-8.415375E-7
-7.877053E-1	-8.295408E-7
-7.836443E-1	-8.174950E-7
-7.796565E-1	-8.058848E-7
-7.756749E-1	-7.942145E-7
-7.716417E-1	-7.825183E-7
-7.676557E-1	-7.710119E-7
-7.636515E-1	-7.596967E-7
-7.596047E-1	-7.482544E-7
-7.556177E-1	-7.370036E-7
-7.516004E-1	-7.259968E-7
-7.476115E-1	-7.149862E-7
-7.436113E-1	-7.042117E-7
-7.395951E-1	-6.932838E-7
-7.355680E-1	-6.824586E-7
-7.315462E-1	-6.718242E-7
-7.275476E-1	-6.612603E-7
-4.522281E-2	-6.509353E-7
-7.195458E-1	-6.404525E-7
-7.155492E-1	-6.302472E-7
-7.114859E-1	-6.200150E-7
-7.074994E-1	-6.099914E-7
-7.035279E-1	-5.999831E-7
-6.995000E-1	-5.900193E-7
-6.955186E-1	-5.803723E-7
-6.915089E-1	-5.707494E-7
-6.874936E-1	-5.610538E-7
-6.834244E-1	-5.515335E-7
-6.794403E-1	-5.421768E-7
-6.754622E-1	-5.329615E-7
-6.714408E-1	-5.236893E-7
-6.674289E-1	-5.147029E-7
-6.634642E-1	-5.057373E-7
-6.594021E-1	-4.967933E-7
-4.096188E-2	-4.881066E-7
-6.513788E-1	-4.794546E-7
-6.473872E-1	-4.709196E-7
-6.434001E-1	-4.625112E-7
-6.393877E-1	-4.540730E-7
-6.353549E-1	-4.458895E-7
-6.313335E-1	-4.376405E-7
-6.273426E-1	-4.295705E-7
-6.233506E-1	-4.216437E-7
-6.193300E-1	-4.138006E-7
-6.153502E-1	-4.061100E-7
-6.112832E-1	-3.983855E-7
-6.072966E-1	-3.908392E-7
-6.033019E-1	-3.835179E-7
-5.992872E-1	-3.761432E-7
-5.952935E-1	-3.688561E-7
-5.913077E-1	-3.618016E-7
-5.872703E-1	-3.547334E-7
-5.832244E-1	-3.476994E-7
-5.792382E-1	-3.408973E-7
-5.752395E-1	-3.341929E-7
-5.712212E-1	-3.274982E-7
-5.672288E-1	-3.210207E-7
-5.632451E-1	-3.146297E-7
-5.591869E-1	-3.083227E-7
-5.551929E-1	-3.020303E-7
-5.511697E-1	-2.958643E-7
-5.471757E-1	-2.898532E-7
-5.431858E-1	-2.839446E-7
-5.391621E-1	-2.781024E-7
-5.351464E-1	-2.723667E-7
-5.311237E-1	-2.666646E-7
-5.271321E-1	-2.611822E-7
-5.231535E-1	-2.556674E-7
-5.191178E-1	-2.502360E-7
