Voltage (V)	Current (A)
9.999784E-1	3.153732E-6
9.959472E-1	3.132459E-6
9.919542E-1	3.111197E-6
9.879640E-1	3.089623E-6
9.839151E-1	3.068518E-6
9.799243E-1	3.047083E-6
9.758987E-1	3.025728E-6
9.719139E-1	3.005027E-6
9.678912E-1	2.983884E-6
9.638988E-1	2.962953E-6
9.598481E-1	2.941767E-6
9.558619E-1	2.921095E-6
9.518667E-1	2.900451E-6
9.478417E-1	2.879759E-6
9.438496E-1	2.858561E-6
9.398751E-1	2.838464E-6
9.358061E-1	2.817508E-6
9.318235E-1	2.796573E-6
9.277937E-1	2.775982E-6
9.238031E-1	2.755724E-6
9.198231E-1	2.735686E-6
9.157890E-1	2.714983E-6
9.117434E-1	2.694348E-6
9.077581E-1	2.674233E-6
9.037648E-1	2.654170E-6
8.997431E-1	2.633756E-6
8.957510E-1	2.613640E-6
8.917664E-1	2.593949E-6
8.877450E-1	2.574323E-6
8.837212E-1	2.553660E-6
8.797031E-1	2.534002E-6
8.757086E-1	2.514006E-6
8.717207E-1	2.493899E-6
8.677074E-1	2.474423E-6
8.637179E-1	2.454421E-6
8.596717E-1	2.434738E-6
8.556670E-1	2.414669E-6
8.516468E-1	2.395266E-6
8.476605E-1	2.376111E-6
8.436645E-1	2.357015E-6
8.396478E-1	2.337456E-6
8.356322E-1	2.318142E-6
8.316020E-1	2.298891E-6
8.276026E-1	2.278940E-6
8.236128E-1	2.260887E-6
8.195979E-1	2.241965E-6
8.156123E-1	2.222632E-6
8.115504E-1	2.203452E-6
8.075664E-1	2.184622E-6
8.035513E-1	2.165847E-6
7.995524E-1	2.146707E-6
7.955725E-1	2.128226E-6
7.915401E-1	2.109116E-6
7.875596E-1	2.090814E-6
7.835013E-1	2.071833E-6
7.795153E-1	2.053566E-6
7.755222E-1	2.035262E-6
7.714984E-1	2.016892E-6
7.675171E-1	1.998775E-6
7.635274E-1	1.980832E-6
7.594616E-1	1.962429E-6
7.554416E-1	1.944069E-6
7.514553E-1	1.926040E-6
7.474807E-1	1.908055E-6
7.434476E-1	1.889814E-6
7.394593E-1	1.872121E-6
7.354084E-1	1.854218E-6
7.314196E-1	1.836694E-6
7.274286E-1	1.819205E-6
7.234035E-1	1.801279E-6
7.194192E-1	1.784820E-6
7.154296E-1	1.766922E-6
7.113784E-1	1.749379E-6
7.073397E-1	1.732246E-6
7.033605E-1	1.715263E-6
6.993667E-1	1.698089E-6
6.953388E-1	1.680923E-6
6.913636E-1	1.664267E-6
6.873615E-1	1.647101E-6
6.833291E-1	1.630187E-6
6.793202E-1	1.613478E-6
6.752982E-1	1.596847E-6
6.713202E-1	1.580293E-6
6.673285E-1	1.563697E-6
6.633087E-1	1.547199E-6
6.592597E-1	1.530431E-6
6.552577E-1	1.514422E-6
6.512738E-1	1.498446E-6
6.472492E-1	1.481665E-6
6.432616E-1	1.465550E-6
6.392760E-1	1.450124E-6
6.352129E-1	1.433728E-6
6.312257E-1	1.418114E-6
6.272063E-1	1.402067E-6
6.232289E-1	1.386321E-6
6.192287E-1	1.370625E-6
6.152092E-1	1.355098E-6
6.111475E-1	1.339482E-6
6.071768E-1	1.324355E-6
6.031758E-1	1.308916E-6
5.991476E-1	1.293607E-6
5.951582E-1	1.278702E-6
5.911778E-1	1.263797E-6
5.871641E-1	1.248714E-6
5.831307E-1	1.233657E-6
5.791034E-1	1.218668E-6
5.751147E-1	1.204338E-6
5.711241E-1	1.189732E-6
5.671093E-1	1.175064E-6
5.631196E-1	1.160559E-6
5.590600E-1	1.145935E-6
5.550731E-1	1.131824E-6
5.510492E-1	1.117564E-6
5.470641E-1	1.103431E-6
5.430828E-1	1.089498E-6
5.390533E-1	1.075418E-6
5.350380E-1	1.061294E-6
5.310066E-1	1.047458E-6
5.270244E-1	1.033928E-6
5.230282E-1	1.020169E-6
5.190054E-1	1.006701E-6
5.150532E-1	9.931667E-7
5.110009E-1	9.798674E-7
5.070069E-1	9.666494E-7
5.029883E-1	9.534192E-7
4.989840E-1	9.401135E-7
4.950075E-1	9.273341E-7
4.909872E-1	9.143593E-7
4.869951E-1	9.013659E-7
4.829391E-1	8.885530E-7
4.789531E-1	8.759716E-7
4.749546E-1	8.632638E-7
4.709363E-1	8.507645E-7
4.669410E-1	8.382826E-7
4.629599E-1	8.260084E-7
4.589032E-1	8.136391E-7
4.548917E-1	8.012662E-7
4.508991E-1	7.892434E-7
4.469090E-1	7.772521E-7
4.428830E-1	7.653317E-7
4.388809E-1	7.533714E-7
4.348458E-1	7.415918E-7
4.308428E-1	7.298140E-7
4.268487E-1	7.182278E-7
4.228398E-1	7.066384E-7
4.188461E-1	6.952451E-7
4.148549E-1	6.840126E-7
4.107920E-1	6.726287E-7
4.067715E-1	6.613004E-7
4.027871E-1	6.501897E-7
3.987981E-1	6.392634E-7
3.947713E-1	6.282733E-7
3.907767E-1	6.174986E-7
3.867930E-1	6.068474E-7
3.827511E-1	5.961244E-7
3.787476E-1	5.855753E-7
3.747314E-1	5.749974E-7
3.707259E-1	5.646070E-7
3.667444E-1	5.543014E-7
3.627287E-1	5.440328E-7
3.586713E-1	5.338038E-7
3.546866E-1	5.238186E-7
3.506941E-1	5.138507E-7
3.466768E-1	5.038597E-7
3.426732E-1	4.941151E-7
3.386950E-1	4.843390E-7
3.346372E-1	4.746016E-7
3.306427E-1	4.651304E-7
3.266240E-1	4.556412E-7
3.226427E-1	4.462922E-7
3.186513E-1	4.370533E-7
3.146280E-1	4.278179E-7
3.105683E-1	4.185322E-7
3.065909E-1	4.095997E-7
3.025890E-1	4.007007E-7
2.985686E-1	3.918003E-7
2.945804E-1	3.830573E-7
2.905870E-1	3.744022E-7
2.865743E-1	3.657855E-7
2.825408E-1	3.572670E-7
2.785204E-1	3.488503E-7
2.745283E-1	3.404176E-7
2.705327E-1	3.323494E-7
2.665271E-1	3.241978E-7
2.625313E-1	3.161844E-7
2.584778E-1	3.080862E-7
2.544807E-1	3.001986E-7
2.504632E-1	2.924097E-7
2.464816E-1	2.847381E-7
2.424918E-1	2.771596E-7
2.384556E-1	2.696505E-7
2.344423E-1	2.620855E-7
2.304057E-1	2.547929E-7
2.264397E-1	2.475881E-7
2.224411E-1	2.404941E-7
2.184184E-1	2.334598E-7
2.144425E-1	2.264929E-7
2.103778E-1	2.195658E-7
2.063849E-1	2.128196E-7
2.023605E-1	2.061275E-7
1.983681E-1	1.996343E-7
1.943785E-1	1.931291E-7
1.903622E-1	1.867416E-7
1.863352E-1	1.804425E-7
1.823176E-1	1.742402E-7
1.783256E-1	1.681181E-7
1.743408E-1	1.621820E-7
1.703073E-1	1.562540E-7
1.663150E-1	1.504819E-7
1.623370E-1	1.448161E-7
1.582751E-1	1.391168E-7
1.542569E-1	1.336103E-7
1.502718E-1	1.282511E-7
1.462820E-1	1.229412E-7
1.422524E-1	1.177354E-7
1.382657E-1	1.126636E-7
1.342124E-1	1.075837E-7
1.302222E-1	1.027411E-7
1.262247E-1	9.798003E-8
1.222039E-1	9.327514E-8
1.182160E-1	8.871949E-8
1.142267E-1	8.428208E-8
1.101878E-1	7.985444E-8
1.061504E-1	7.560337E-8
1.021649E-1	7.145387E-8
9.816909E-2	6.746136E-8
9.414957E-2	6.347963E-8
9.016293E-2	5.970138E-8
8.612032E-2	5.596221E-8
8.211578E-2	5.238886E-8
7.813114E-2	4.891689E-8
7.410462E-2	4.551321E-8
7.012329E-2	4.230207E-8
6.612952E-2	3.917155E-8
6.210786E-2	3.611892E-8
5.805243E-2	3.315499E-8
5.406903E-2	3.038230E-8
5.007987E-2	2.766211E-8
4.604081E-2	2.506754E-8
4.205734E-2	2.257710E-8
3.808288E-2	2.020231E-8
3.401418E-2	1.786780E-8
3.001353E-2	1.567439E-8
2.600292E-2	1.352037E-8
2.200609E-2	1.144892E-8
1.803038E-2	9.413590E-9
1.399669E-2	7.449379E-9
9.953662E-3	5.461433E-9
5.952148E-3	3.535195E-9
1.968805E-3	1.606321E-9
-2.038026E-3	-3.911128E-10
-6.046626E-3	-2.335651E-9
-1.002483E-2	-4.368189E-9
-1.408406E-2	-6.471745E-9
-1.807231E-2	-8.658324E-9
-2.209358E-2	-1.085933E-8
-2.608641E-2	-1.322320E-8
-3.007855E-2	-1.566432E-8
-3.410195E-2	-1.822695E-8
-3.809237E-2	-2.091072E-8
-4.213997E-2	-2.375594E-8
-4.615508E-2	-2.664474E-8
-5.015723E-2	-2.969118E-8
-5.414781E-2	-3.285450E-8
-5.813227E-2	-3.612493E-8
-6.212405E-2	-3.955074E-8
-6.619420E-2	-4.312760E-8
-7.021149E-2	-4.680223E-8
-7.419802E-2	-5.062175E-8
-7.818931E-2	-5.455188E-8
-8.219872E-2	-5.860468E-8
-8.620516E-2	-6.272654E-8
-9.025506E-2	-6.712629E-8
-9.425667E-2	-7.152819E-8
-9.824112E-2	-7.608875E-8
-1.022673E-1	-8.076655E-8
-1.062598E-1	-8.556862E-8
-1.102377E-1	-9.046210E-8
-1.142990E-1	-9.554752E-8
-1.182810E-1	-1.006883E-7
-1.223070E-1	-1.059914E-7
-1.262988E-1	-1.113535E-7
-1.302866E-1	-1.168399E-7
-1.342999E-1	-1.224666E-7
-1.383002E-1	-1.281549E-7
-1.423561E-1	-1.341103E-7
-1.463552E-1	-1.400292E-7
-1.503432E-1	-1.460176E-7
-1.543663E-1	-1.521867E-7
-1.583651E-1	-1.584168E-7
-1.623398E-1	-1.647545E-7
-1.663978E-1	-1.712982E-7
-1.704270E-1	-1.778866E-7
-1.744267E-1	-1.845288E-7
-1.784038E-1	-1.912694E-7
-1.824286E-1	-1.981431E-7
-1.864213E-1	-2.051197E-7
-1.904767E-1	-2.122123E-7
-1.944671E-1	-2.193300E-7
-1.984523E-1	-2.265616E-7
-2.024778E-1	-2.339761E-7
-2.064673E-1	-2.413296E-7
-2.104606E-1	-2.488452E-7
-2.145080E-1	-2.565280E-7
-2.185176E-1	-2.642494E-7
-2.225296E-1	-2.720635E-7
-2.265218E-1	-2.800036E-7
-2.305190E-1	-2.879253E-7
-2.345206E-1	-2.960588E-7
-2.385204E-1	-3.042264E-7
-2.425900E-1	-3.126282E-7
-2.465651E-1	-3.209203E-7
-2.505585E-1	-3.293497E-7
-2.545795E-1	-3.379377E-7
-2.585658E-1	-3.465479E-7
-2.625641E-1	-3.552476E-7
-2.666107E-1	-3.641911E-7
-2.706363E-1	-3.730956E-7
-2.746334E-1	-3.820352E-7
-2.786256E-1	-3.911654E-7
-2.826346E-1	-4.003627E-7
-2.866296E-1	-4.095820E-7
-2.906940E-1	-4.190335E-7
-2.946802E-1	-4.284822E-7
-2.986710E-1	-4.380229E-7
-3.027030E-1	-4.476991E-7
-3.066883E-1	-4.573801E-7
-3.106846E-1	-4.671811E-7
-3.147310E-1	-4.771635E-7
-3.187258E-1	-4.871238E-7
-3.227472E-1	-4.972619E-7
-3.267368E-1	-5.074453E-7
-3.307205E-1	-5.176827E-7
-3.347470E-1	-5.281146E-7
-3.387697E-1	-5.385984E-7
-3.427973E-1	-5.492240E-7
-3.467778E-1	-5.598298E-7
-3.507766E-1	-5.704636E-7
-3.547992E-1	-5.813402E-7
-3.587986E-1	-5.922500E-7
-3.627759E-1	-6.032400E-7
-3.668306E-1	-6.145617E-7
-3.708676E-1	-6.257910E-7
-3.748533E-1	-6.370249E-7
-3.788410E-1	-6.484060E-7
-3.828250E-1	-6.598644E-7
-3.868488E-1	-6.716056E-7
-3.909176E-1	-6.834896E-7
-3.948941E-1	-6.952623E-7
-3.988792E-1	-7.070155E-7
-4.029095E-1	-7.189432E-7
-4.069066E-1	-7.309558E-7
-4.108987E-1	-7.431607E-7
-4.149521E-1	-7.555918E-7
-4.189403E-1	-7.678275E-7
-4.229676E-1	-7.804144E-7
-4.269545E-1	-7.929091E-7
-4.309423E-1	-8.054922E-7
-4.349649E-1	-8.180602E-7
-4.389878E-1	-8.310017E-7
-4.430175E-1	-8.441065E-7
-4.470087E-1	-8.570540E-7
-4.510003E-1	-8.700327E-7
-4.550086E-1	-8.832545E-7
-4.590214E-1	-8.964733E-7
-4.630013E-1	-9.099214E-7
-4.670441E-1	-9.235519E-7
-4.710769E-1	-9.373715E-7
-4.750712E-1	-9.510629E-7
-4.790604E-1	-9.645701E-7
-4.830492E-1	-9.785005E-7
-4.870771E-1	-9.924729E-7
-4.911195E-1	-1.006723E-6
-4.951188E-1	-1.020764E-6
-4.986794E-1	-1.033661E-6
-5.030934E-1	-1.049615E-6
-3.169244E-2	-1.063906E-6
-5.110800E-1	-1.078285E-6
-5.151123E-1	-1.093010E-6
-5.191135E-1	-1.107579E-6
-5.231355E-1	-1.122282E-6
-5.271249E-1	-1.137071E-6
-5.311200E-1	-1.152225E-6
-5.351312E-1	-1.167293E-6
-5.391657E-1	-1.182566E-6
-5.431810E-1	-1.197803E-6
-5.471727E-1	-1.212909E-6
-5.511605E-1	-1.228174E-6
-5.551886E-1	-1.243953E-6
-5.591694E-1	-1.259432E-6
-5.631672E-1	-1.275164E-6
-5.672231E-1	-1.290935E-6
-5.712137E-1	-1.306767E-6
-3.595246E-2	-1.322905E-6
-5.792269E-1	-1.338919E-6
-5.832216E-1	-1.355116E-6
-5.872349E-1	-1.371122E-6
-5.913070E-1	-1.387691E-6
-5.952832E-1	-1.403992E-6
-5.992668E-1	-1.420112E-6
-6.032954E-1	-1.436966E-6
-6.072803E-1	-1.453397E-6
-6.112695E-1	-1.469908E-6
-6.153308E-1	-1.486879E-6
-6.193151E-1	-1.503518E-6
-6.233395E-1	-1.520783E-6
-6.273401E-1	-1.537653E-6
-6.313184E-1	-1.554648E-6
-6.353511E-1	-1.571774E-6
-6.393656E-1	-1.589138E-6
-6.433942E-1	-1.606453E-6
-6.473749E-1	-1.623707E-6
-6.513669E-1	-1.640968E-6
-6.553910E-1	-1.658488E-6
-6.593909E-1	-1.676140E-6
-6.633675E-1	-1.693554E-6
-6.674244E-1	-1.711486E-6
-6.714233E-1	-1.729286E-6
-6.754399E-1	-1.746989E-6
-6.794127E-1	-1.764985E-6
-6.834235E-1	-1.782993E-6
