Voltage (V)	Current (A)
-1.000062E+0	-3.389354E-6
-9.960837E-1	-3.367076E-6
-9.920648E-1	-3.343449E-6
-9.880794E-1	-3.321828E-6
-9.840198E-1	-3.299303E-6
-9.800327E-1	-3.277305E-6
-9.760423E-1	-3.255943E-6
-9.720261E-1	-3.233749E-6
-9.680380E-1	-3.211517E-6
-9.640569E-1	-3.189363E-6
-9.599785E-1	-3.167556E-6
-9.559976E-1	-3.145891E-6
-9.519669E-1	-3.124175E-6
-9.479820E-1	-3.103056E-6
-9.439827E-1	-3.081161E-6
-9.399747E-1	-3.059750E-6
-9.359531E-1	-3.038716E-6
-9.319274E-1	-3.016700E-6
-9.279426E-1	-2.995848E-6
-9.239451E-1	-2.974693E-6
-9.199236E-1	-2.952865E-6
-9.159328E-1	-2.931778E-6
-9.118788E-1	-2.910811E-6
-9.078894E-1	-2.889113E-6
-9.038698E-1	-2.867914E-6
-8.998778E-1	-2.847045E-6
-8.958897E-1	-2.825384E-6
-8.918626E-1	-2.804431E-6
-8.878885E-1	-2.783586E-6
-8.838245E-1	-2.762523E-6
-8.798310E-1	-2.741801E-6
-8.758519E-1	-2.720970E-6
-8.718275E-1	-2.699810E-6
-8.678377E-1	-2.679251E-6
-8.638409E-1	-2.658719E-6
-8.597977E-1	-2.637540E-6
-8.557949E-1	-2.617781E-6
-8.517760E-1	-2.596885E-6
-8.477806E-1	-2.576366E-6
-8.437946E-1	-2.556147E-6
-8.397718E-1	-2.535632E-6
-8.357498E-1	-2.514951E-6
-8.317270E-1	-2.494597E-6
-8.277342E-1	-2.474215E-6
-8.237503E-1	-2.454242E-6
-8.197118E-1	-2.434073E-6
-8.157321E-1	-2.414025E-6
-8.116764E-1	-2.393360E-6
-8.076926E-1	-2.373850E-6
-8.036818E-1	-2.354285E-6
-7.996891E-1	-2.334196E-6
-7.956905E-1	-2.314548E-6
-7.917123E-1	-2.295198E-6
-7.876768E-1	-2.275239E-6
-7.836156E-1	-2.255141E-6
-7.796376E-1	-2.235879E-6
-7.756273E-1	-2.216168E-6
-7.716208E-1	-2.196432E-6
-7.676275E-1	-2.177233E-6
-7.636411E-1	-2.158032E-6
-7.595823E-1	-2.138322E-6
-7.555941E-1	-2.119434E-6
-7.515733E-1	-2.100036E-6
-7.475801E-1	-2.081298E-6
-7.435914E-1	-2.061845E-6
