Voltage (V)	Current (A)
-1.000069E+0	-3.097305E-6
-9.960979E-1	-3.075442E-6
-9.920654E-1	-3.054164E-6
-9.880747E-1	-3.032382E-6
-9.840194E-1	-3.010927E-6
-9.800319E-1	-2.989188E-6
-9.760367E-1	-2.967815E-6
-9.720320E-1	-2.946211E-6
-9.680415E-1	-2.924829E-6
-9.640452E-1	-2.903688E-6
-9.599838E-1	-2.881945E-6
-9.559927E-1	-2.861088E-6
-9.519808E-1	-2.839637E-6
-9.479828E-1	-2.818236E-6
-9.440032E-1	-2.797148E-6
-9.399832E-1	-2.776219E-6
-9.359477E-1	-2.754912E-6
-9.319252E-1	-2.733795E-6
-9.279476E-1	-2.712848E-6
-9.239386E-1	-2.691970E-6
-9.199189E-1	-2.670872E-6
-9.159303E-1	-2.650056E-6
-9.118844E-1	-2.629364E-6
-9.078819E-1	-2.608049E-6
-9.038594E-1	-2.587489E-6
-8.998830E-1	-2.567105E-6
-8.958856E-1	-2.546369E-6
-8.918586E-1	-2.525520E-6
-8.878745E-1	-2.505366E-6
-8.838254E-1	-2.484647E-6
-8.798243E-1	-2.464224E-6
-8.758439E-1	-2.444288E-6
-8.718176E-1	-2.423732E-6
-8.678234E-1	-2.403541E-6
-8.638325E-1	-2.383625E-6
-8.597857E-1	-2.362999E-6
-8.557881E-1	-2.342701E-6
-8.517638E-1	-2.322694E-6
-8.477837E-1	-2.303060E-6
-8.437930E-1	-2.283074E-6
-8.397765E-1	-2.263018E-6
-5.223374E-2	-2.242956E-6
-8.317348E-1	-2.222987E-6
-8.277408E-1	-2.203272E-6
-8.237351E-1	-2.183753E-6
-8.197159E-1	-2.164062E-6
-8.157339E-1	-2.144518E-6
-8.116658E-1	-2.124898E-6
-8.076829E-1	-2.105363E-6
-8.036667E-1	-2.085767E-6
-4.997901E-2	-2.066738E-6
-7.956903E-1	-2.047277E-6
-7.916938E-1	-2.027885E-6
-7.876773E-1	-2.009045E-6
-7.836260E-1	-1.989735E-6
-7.796208E-1	-1.970562E-6
-7.756360E-1	-1.951820E-6
-7.716128E-1	-1.932901E-6
-7.676193E-1	-1.913768E-6
-7.636329E-1	-1.895208E-6
-7.595804E-1	-1.876449E-6
-7.555770E-1	-1.857492E-6
-7.515652E-1	-1.839014E-6
-7.475705E-1	-1.820503E-6
-7.435923E-1	-1.801912E-6
-7.395700E-1	-1.783578E-6
-7.355479E-1	-1.765013E-6
-7.315167E-1	-1.746578E-6
-7.275256E-1	-1.728451E-6
-7.235501E-1	-1.710418E-6
-7.195271E-1	-1.692243E-6
-7.155328E-1	-1.674312E-6
-7.114751E-1	-1.656198E-6
-7.074810E-1	-1.638468E-6
-7.035006E-1	-1.620554E-6
-6.994698E-1	-1.603006E-6
-6.954752E-1	-1.585092E-6
-6.914822E-1	-1.567933E-6
-6.874648E-1	-1.550204E-6
-6.834165E-1	-1.532385E-6
-6.794295E-1	-1.515171E-6
-6.754242E-1	-1.497958E-6
-6.714100E-1	-1.480628E-6
-6.674244E-1	-1.463620E-6
-6.634360E-1	-1.446736E-6
-6.593724E-1	-1.429506E-6
-6.553860E-1	-1.412579E-6
-6.513637E-1	-1.395812E-6
-6.473749E-1	-1.379205E-6
-6.433952E-1	-1.362607E-6
-6.393771E-1	-1.345788E-6
-6.353452E-1	-1.329463E-6
-6.313068E-1	-1.312860E-6
-6.273330E-1	-1.296881E-6
-6.233361E-1	-1.280440E-6
-6.193074E-1	-1.264276E-6
-6.153225E-1	-1.248326E-6
-6.112586E-1	-1.232173E-6
-6.072803E-1	-1.216528E-6
-6.032953E-1	-1.200687E-6
-5.992600E-1	-1.185045E-6
-5.952723E-1	-1.169443E-6
-5.913011E-1	-1.153936E-6
-5.872679E-1	-1.138382E-6
-5.832182E-1	-1.122909E-6
-5.792194E-1	-1.107715E-6
-5.752259E-1	-1.092717E-6
-5.712090E-1	-1.077629E-6
-5.672104E-1	-1.062700E-6
-5.632363E-1	-1.048098E-6
-5.591695E-1	-1.032993E-6
-5.551913E-1	-1.018473E-6
-5.511478E-1	-1.003850E-6
-5.472145E-1	-9.894542E-7
-5.432222E-1	-9.753509E-7
-5.391987E-1	-9.610311E-7
-5.351775E-1	-9.467862E-7
-5.311561E-1	-9.327542E-7
-5.271568E-1	-9.189420E-7
-5.231689E-1	-9.052353E-7
-5.191473E-1	-8.914882E-7
-5.151518E-1	-8.779328E-7
-5.111016E-1	-8.642786E-7
-5.071181E-1	-8.509601E-7
-5.031325E-1	-8.377481E-7
-4.991118E-1	-8.242454E-7
-4.951113E-1	-8.111462E-7
-4.911189E-1	-7.983888E-7
-4.870955E-1	-7.853873E-7
-4.830368E-1	-7.725716E-7
-4.790560E-1	-7.599700E-7
-4.750502E-1	-7.475102E-7
-4.710808E-1	-7.351545E-7
-4.670581E-1	-7.227959E-7
-4.630668E-1	-7.106855E-7
-4.589993E-1	-6.983783E-7
-4.550054E-1	-6.865953E-7
-4.509869E-1	-6.747404E-7
-4.469908E-1	-6.630855E-7
-4.430034E-1	-6.514732E-7
-4.389865E-1	-6.399284E-7
-4.349573E-1	-6.285129E-7
-4.309464E-1	-6.171606E-7
-4.269500E-1	-6.060883E-7
-4.229519E-1	-5.950211E-7
-4.189416E-1	-5.840629E-7
-4.149315E-1	-5.732921E-7
-4.108956E-1	-5.624608E-7
-4.068859E-1	-5.518975E-7
-4.029093E-1	-5.415338E-7
-3.988777E-1	-5.310540E-7
-3.948949E-1	-5.208033E-7
-3.909054E-1	-5.107231E-7
-3.868713E-1	-5.006729E-7
-3.828183E-1	-4.905733E-7
-3.788324E-1	-4.807598E-7
-3.748350E-1	-4.711042E-7
-3.708372E-1	-4.615164E-7
-3.668450E-1	-4.520897E-7
-3.628434E-1	-4.426859E-7
-3.587916E-1	-4.332393E-7
-3.547889E-1	-4.240991E-7
-3.507631E-1	-4.149345E-7
-3.467758E-1	-4.060391E-7
-3.427964E-1	-3.972291E-7
-3.387673E-1	-3.884266E-7
-3.347441E-1	-3.797329E-7
-3.307191E-1	-3.712161E-7
-3.267338E-1	-3.627385E-7
-3.227340E-1	-3.544130E-7
-3.187098E-1	-3.461277E-7
-3.147301E-1	-3.380903E-7
-3.106749E-1	-3.299877E-7
-3.066765E-1	-3.220930E-7
-3.026871E-1	-3.143012E-7
-2.986573E-1	-3.065204E-7
-2.946908E-1	-2.989553E-7
-2.906745E-1	-2.914531E-7
-2.866696E-1	-2.839970E-7
-2.826324E-1	-2.765622E-7
-2.786148E-1	-2.693878E-7
-2.746353E-1	-2.622687E-7
-2.706532E-1	-2.552505E-7
-2.666088E-1	-2.483007E-7
-2.626213E-1	-2.415094E-7
-2.585748E-1	-2.346753E-7
-2.545785E-1	-2.281026E-7
-2.505565E-1	-2.215474E-7
-2.465623E-1	-2.150899E-7
-2.425857E-1	-2.088206E-7
-2.385821E-1	-2.025916E-7
-2.345241E-1	-1.963655E-7
-2.305012E-1	-1.902528E-7
-2.265012E-1	-1.843483E-7
-2.225349E-1	-1.784906E-7
-2.185002E-1	-1.727007E-7
-2.145214E-1	-1.670743E-7
-2.104614E-1	-1.614521E-7
-2.064616E-1	-1.559416E-7
-2.024622E-1	-1.505929E-7
-1.984571E-1	-1.452688E-7
-1.944637E-1	-1.401279E-7
-1.904805E-1	-1.350374E-7
-1.864014E-1	-1.299996E-7
-1.824262E-1	-1.251131E-7
-1.784050E-1	-1.202502E-7
-1.744202E-1	-1.155811E-7
-1.704231E-1	-1.109634E-7
-1.663959E-1	-1.064283E-7
-1.624125E-1	-1.020277E-7
-1.583479E-1	-9.762578E-8
-1.543654E-1	-9.343247E-8
-1.503276E-1	-8.927434E-8
-1.463581E-1	-8.523833E-8
-1.423531E-1	-8.132305E-8
-1.383588E-1	-7.746326E-8
-1.343179E-1	-7.365902E-8
-1.302824E-1	-6.998909E-8
-1.262997E-1	-6.641277E-8
-1.223212E-1	-6.296370E-8
-1.182779E-1	-5.957445E-8
-1.143004E-1	-5.630556E-8
-1.102435E-1	-5.310176E-8
-1.062500E-1	-4.999664E-8
-1.022379E-1	-4.702252E-8
-9.824807E-2	-4.411375E-8
-9.425047E-2	-4.130703E-8
-9.023672E-2	-3.862060E-8
-8.621262E-2	-3.596887E-8
-8.221167E-2	-3.346325E-8
-7.819295E-2	-3.104600E-8
-7.420155E-2	-2.870676E-8
-7.021546E-2	-2.646980E-8
-6.618860E-2	-2.429215E-8
-6.219367E-2	-2.226864E-8
-5.812300E-2	-2.019286E-8
-5.414625E-2	-1.834719E-8
-5.014258E-2	-1.653875E-8
-4.613114E-2	-1.481343E-8
-4.216471E-2	-1.321385E-8
-3.815520E-2	-1.163847E-8
-3.409494E-2	-1.007365E-8
-3.007787E-2	-8.627791E-9
-2.608271E-2	-7.263638E-9
-2.208756E-2	-5.952210E-9
-1.807538E-2	-4.679234E-9
-1.409947E-2	-3.461538E-9
-1.001666E-2	-2.251055E-9
-6.050786E-3	-1.147863E-9
-2.042463E-3	-6.441417E-12
1.958756E-3	1.123870E-9
5.938586E-3	2.192423E-9
9.946601E-3	3.269137E-9
1.402847E-2	4.419985E-9
1.803435E-2	5.575118E-9
2.201289E-2	6.702960E-9
2.601969E-2	7.938405E-9
3.002018E-2	9.202370E-9
3.402752E-2	1.049799E-8
3.799501E-2	1.184883E-8
4.206027E-2	1.327954E-8
4.605935E-2	1.479307E-8
5.005779E-2	1.636861E-8
5.405995E-2	1.798525E-8
5.805514E-2	1.967350E-8
6.208226E-2	2.143981E-8
6.611159E-2	2.333232E-8
7.011664E-2	2.523085E-8
7.409551E-2	2.723402E-8
7.812785E-2	2.935260E-8
8.212829E-2	3.152991E-8
8.611111E-2	3.374316E-8
9.016947E-2	3.611649E-8
9.414526E-2	3.853500E-8
9.815720E-2	4.104446E-8
1.021593E-1	4.362543E-8
1.061544E-1	4.630738E-8
1.101827E-1	4.908090E-8
1.142347E-1	5.199179E-8
1.182156E-1	5.483758E-8
1.222262E-1	5.785420E-8
1.262148E-1	6.098413E-8
1.302286E-1	6.422049E-8
1.341986E-1	6.746816E-8
1.382451E-1	7.083824E-8
1.422265E-1	7.429981E-8
1.462810E-1	7.786590E-8
1.502744E-1	8.152021E-8
1.542611E-1	8.522122E-8
1.582937E-1	8.902555E-8
1.622589E-1	9.295231E-8
1.663200E-1	9.699034E-8
1.703015E-1	1.011021E-7
1.743304E-1	1.053293E-7
1.783213E-1	1.095360E-7
1.823001E-1	1.138834E-7
1.863322E-1	1.184190E-7
1.903584E-1	1.229822E-7
1.943761E-1	1.277311E-7
1.983682E-1	1.323622E-7
2.023538E-1	1.372271E-7
2.063607E-1	1.421674E-7
2.103764E-1	1.471501E-7
2.144320E-1	1.523625E-7
2.184317E-1	1.575829E-7
2.224196E-1	1.629523E-7
2.264291E-1	1.683552E-7
2.303990E-1	1.738455E-7
2.344500E-1	1.794544E-7
2.384301E-1	1.852350E-7
2.424779E-1	1.911198E-7
2.464655E-1	1.970199E-7
2.504666E-1	2.028659E-7
2.544885E-1	2.091289E-7
2.584494E-1	2.152087E-7
2.624478E-1	2.215335E-7
2.665137E-1	2.280600E-7
2.705264E-1	2.345255E-7
2.745264E-1	2.410432E-7
2.785215E-1	2.477325E-7
2.825445E-1	2.544915E-7
2.865427E-1	2.614048E-7
2.905999E-1	2.683776E-7
2.945625E-1	2.754943E-7
