Voltage (V)	Current (A)
-1.000075E+0	-3.067401E-6
-9.960897E-1	-3.046065E-6
-9.920622E-1	-3.023855E-6
-9.880796E-1	-3.002748E-6
-9.840176E-1	-2.981000E-6
-9.800311E-1	-2.959894E-6
-9.760425E-1	-2.938424E-6
-9.720199E-1	-2.917006E-6
-9.680308E-1	-2.895660E-6
-9.640408E-1	-2.874333E-6
-5.999867E-2	-2.853071E-6
-9.559912E-1	-2.831839E-6
-9.519720E-1	-2.810159E-6
-9.479770E-1	-2.789398E-6
-9.439923E-1	-2.768641E-6
-9.399692E-1	-2.747258E-6
-9.359437E-1	-2.726076E-6
-9.319193E-1	-2.705402E-6
-9.279363E-1	-2.684529E-6
-9.239404E-1	-2.663484E-6
-9.199199E-1	-2.642882E-6
-9.159316E-1	-2.621988E-6
-9.118773E-1	-2.601221E-6
-9.078842E-1	-2.580480E-6
-5.649122E-2	-2.559720E-6
-8.998750E-1	-2.538898E-6
-8.958861E-1	-2.518664E-6
-8.918597E-1	-2.498164E-6
-8.878757E-1	-2.477782E-6
-8.838165E-1	-2.457035E-6
-8.798280E-1	-2.436666E-6
-8.758378E-1	-2.416676E-6
-8.718180E-1	-2.396385E-6
-8.678327E-1	-2.375921E-6
-8.638374E-1	-2.356081E-6
-8.597847E-1	-2.335698E-6
-8.557895E-1	-2.315724E-6
-8.517693E-1	-2.295289E-6
-8.477792E-1	-2.275727E-6
-8.437878E-1	-2.256122E-6
-8.397699E-1	-2.236235E-6
-5.223406E-2	-2.216522E-6
-8.317243E-1	-2.196537E-6
-8.277295E-1	-2.176905E-6
-8.237446E-1	-2.157398E-6
-1.084890E-23	-2.138051E-6
-8.157315E-1	-2.118468E-6
-8.116757E-1	-2.098673E-6
-8.076863E-1	-2.079277E-6
-8.036649E-1	-2.059902E-6
-7.996749E-1	-2.040703E-6
-7.956828E-1	-2.021581E-6
-7.916967E-1	-2.002540E-6
-7.876683E-1	-1.983202E-6
-7.836124E-1	-1.963863E-6
-7.796201E-1	-1.944840E-6
-7.756389E-1	-1.926359E-6
-7.716155E-1	-1.907339E-6
-7.676256E-1	-1.888784E-6
-7.636377E-1	-1.870288E-6
-7.595795E-1	-1.851190E-6
-7.555889E-1	-1.832484E-6
-7.515672E-1	-1.813978E-6
-7.475817E-1	-1.795551E-6
-7.435927E-1	-1.777194E-6
-7.395681E-1	-1.758870E-6
-7.355422E-1	-1.740539E-6
-7.315215E-1	-1.722146E-6
-7.275355E-1	-1.704151E-6
-7.235476E-1	-1.686251E-6
-7.195206E-1	-1.668191E-6
-7.155325E-1	-1.650436E-6
-4.446714E-2	-1.632210E-6
-7.074813E-1	-1.614744E-6
-7.034949E-1	-1.596892E-6
-6.994686E-1	-1.579159E-6
-6.954835E-1	-1.561665E-6
-6.914903E-1	-1.544235E-6
-6.874691E-1	-1.526532E-6
-6.834116E-1	-1.508965E-6
-6.794190E-1	-1.491817E-6
-6.754333E-1	-1.474633E-6
-6.714086E-1	-1.457416E-6
-6.674222E-1	-1.440337E-6
-6.634304E-1	-1.423569E-6
-6.593771E-1	-1.406767E-6
-6.553853E-1	-1.389902E-6
-6.513633E-1	-1.373038E-6
-6.473715E-1	-1.356454E-6
-6.433846E-1	-1.340164E-6
-6.393639E-1	-1.323619E-6
-6.353416E-1	-1.307100E-6
-6.313169E-1	-1.290816E-6
-6.273240E-1	-1.274523E-6
-6.233407E-1	-1.258596E-6
-6.193107E-1	-1.242438E-6
-6.153267E-1	-1.226573E-6
-6.112685E-1	-1.210483E-6
-6.072817E-1	-1.194754E-6
-6.032906E-1	-1.179031E-6
-5.992678E-1	-1.163362E-6
-5.952809E-1	-1.148115E-6
-5.912922E-1	-1.132744E-6
-5.872648E-1	-1.117298E-6
-5.832118E-1	-1.101895E-6
-5.792214E-1	-1.086857E-6
-5.752326E-1	-1.071840E-6
-5.712098E-1	-1.056909E-6
-5.672230E-1	-1.042109E-6
-5.632275E-1	-1.027508E-6
-5.591698E-1	-1.012629E-6
-5.552245E-1	-9.979996E-7
-5.511960E-1	-9.838205E-7
-5.472125E-1	-9.695183E-7
-5.432179E-1	-9.552953E-7
-5.391968E-1	-9.412147E-7
-5.351731E-1	-9.272724E-7
-5.311494E-1	-9.132914E-7
-5.271608E-1	-8.995818E-7
-5.231742E-1	-8.858522E-7
-5.191502E-1	-8.720542E-7
-5.151556E-1	-8.587656E-7
-5.110994E-1	-8.452709E-7
-5.071074E-1	-8.319777E-7
-5.031202E-1	-8.188543E-7
-4.990975E-1	-8.057548E-7
-4.951096E-1	-7.929326E-7
-4.911195E-1	-7.800823E-7
-4.870934E-1	-7.673427E-7
-4.830349E-1	-7.545850E-7
-4.790479E-1	-7.422010E-7
-4.750578E-1	-7.299060E-7
-4.710715E-1	-7.176855E-7
-4.670414E-1	-7.055613E-7
-4.630539E-1	-6.934919E-7
-4.589983E-1	-6.814635E-7
-4.550051E-1	-6.697189E-7
-4.509875E-1	-6.580060E-7
-4.469947E-1	-6.464803E-7
-4.430065E-1	-6.350502E-7
-4.389787E-1	-6.235902E-7
-4.349583E-1	-6.123690E-7
-4.309316E-1	-6.011624E-7
-4.269398E-1	-5.902551E-7
-4.229527E-1	-5.793473E-7
-4.189337E-1	-5.684882E-7
-4.149383E-1	-5.579158E-7
-4.108781E-1	-5.472075E-7
-4.068888E-1	-5.367541E-7
-4.028985E-1	-5.264577E-7
-3.988831E-1	-5.162149E-7
-3.948863E-1	-5.062162E-7
-3.909005E-1	-4.962384E-7
-3.868768E-1	-4.863126E-7
-3.828230E-1	-4.764821E-7
-3.788275E-1	-4.667658E-7
-3.748406E-1	-4.572355E-7
-3.708491E-1	-4.478686E-7
-3.668297E-1	-4.384434E-7
-3.628368E-1	-4.292174E-7
-3.587819E-1	-4.200595E-7
-3.547885E-1	-4.111274E-7
-3.507661E-1	-4.021471E-7
-3.467783E-1	-3.933944E-7
-3.427865E-1	-3.847158E-7
-3.387596E-1	-3.761231E-7
-3.347375E-1	-3.676025E-7
-3.307169E-1	-3.592133E-7
-3.267268E-1	-3.508990E-7
-3.227382E-1	-3.427950E-7
-3.187177E-1	-3.346949E-7
-3.147258E-1	-3.268221E-7
-3.106665E-1	-3.188800E-7
-3.066791E-1	-3.111068E-7
-3.026860E-1	-3.034472E-7
-2.986599E-1	-2.959659E-7
-2.946747E-1	-2.885964E-7
-2.906854E-1	-2.812332E-7
-2.866606E-1	-2.739791E-7
-2.826346E-1	-2.668127E-7
-2.786144E-1	-2.596441E-7
-2.746216E-1	-2.528001E-7
-2.706317E-1	-2.459519E-7
-2.666047E-1	-2.391852E-7
-2.626249E-1	-2.325803E-7
-2.585624E-1	-2.259194E-7
-2.545743E-1	-2.195147E-7
-2.505472E-1	-2.131201E-7
-2.465630E-1	-2.069094E-7
-2.425773E-1	-2.007869E-7
-2.385850E-1	-1.947378E-7
-2.345252E-1	-1.886660E-7
-2.305012E-1	-1.828271E-7
-2.265147E-1	-1.770735E-7
-2.225197E-1	-1.714344E-7
-2.184996E-1	-1.657848E-7
-2.145111E-1	-1.603366E-7
-2.104525E-1	-1.548654E-7
-2.064633E-1	-1.495834E-7
-2.024741E-1	-1.444129E-7
-1.984472E-1	-1.392457E-7
-1.944620E-1	-1.342653E-7
-1.904708E-1	-1.293480E-7
-1.864158E-1	-1.244725E-7
-1.824261E-1	-1.197505E-7
-1.783995E-1	-1.151172E-7
-1.744142E-1	-1.105706E-7
-1.704236E-1	-1.061531E-7
-1.664020E-1	-1.017693E-7
-1.624063E-1	-9.753758E-8
-1.583529E-1	-9.326486E-8
-1.543587E-1	-8.922428E-8
-1.503369E-1	-8.523818E-8
-1.463472E-1	-8.135710E-8
-1.423565E-1	-7.758891E-8
-1.383656E-1	-7.388642E-8
-1.343075E-1	-7.025836E-8
-1.302826E-1	-6.669074E-8
-1.262919E-1	-6.326623E-8
-1.223065E-1	-6.000407E-8
-1.182882E-1	-5.676127E-8
-1.142986E-1	-5.360097E-8
-1.102324E-1	-5.053398E-8
-1.062539E-1	-4.757341E-8
-1.022571E-1	-4.471061E-8
-9.823741E-2	-4.191067E-8
-9.423099E-2	-3.921465E-8
-9.024201E-2	-3.667346E-8
-8.619544E-2	-3.418204E-8
-8.219987E-2	-3.178425E-8
-7.818191E-2	-2.948467E-8
-7.419976E-2	-2.724536E-8
-7.020553E-2	-2.511697E-8
-6.617802E-2	-2.304282E-8
-6.218718E-2	-2.108882E-8
-5.813279E-2	-1.919142E-8
-5.414296E-2	-1.741309E-8
-5.015494E-2	-1.571513E-8
-4.613496E-2	-1.405472E-8
-4.214108E-2	-1.249805E-8
-3.815784E-2	-1.103813E-8
-3.409654E-2	-9.555959E-9
-3.007246E-2	-8.174848E-9
-2.607568E-2	-6.856577E-9
-2.208968E-2	-5.637677E-9
-1.807188E-2	-4.424543E-9
-1.408260E-2	-3.290895E-9
-1.002525E-2	-2.129901E-9
-6.032621E-3	-1.080104E-9
-2.041206E-3	1.442342E-11
1.972895E-3	1.080668E-9
5.957164E-3	2.086964E-9
9.950949E-3	3.156766E-9
1.400891E-2	4.219630E-9
1.803046E-2	5.307314E-9
2.201820E-2	6.427054E-9
2.600877E-2	7.597968E-9
3.003160E-2	8.817596E-9
3.402445E-2	1.004194E-8
3.800810E-2	1.132854E-8
4.206213E-2	1.271489E-8
4.605565E-2	1.412806E-8
5.007481E-2	1.561969E-8
5.405989E-2	1.718885E-8
5.805058E-2	1.879780E-8
6.207302E-2	2.052331E-8
6.612927E-2	2.230991E-8
7.012233E-2	2.415863E-8
7.410671E-2	2.605675E-8
7.813723E-2	2.807256E-8
8.212195E-2	3.013409E-8
8.610653E-2	3.227619E-8
9.016310E-2	3.457624E-8
9.415042E-2	3.684671E-8
9.817819E-2	3.929743E-8
1.021670E-1	4.174678E-8
1.061518E-1	4.428067E-8
1.101781E-1	4.698708E-8
1.142327E-1	4.969815E-8
1.182199E-1	5.246424E-8
1.222057E-1	5.535505E-8
1.262286E-1	5.837821E-8
1.302222E-1	6.142027E-8
1.342084E-1	6.460419E-8
1.382360E-1	6.782179E-8
1.422526E-1	7.119909E-8
1.462797E-1	7.459425E-8
1.502723E-1	7.805624E-8
1.542584E-1	8.165680E-8
1.582839E-1	8.532675E-8
1.622628E-1	8.912620E-8
1.663241E-1	9.301298E-8
1.703171E-1	9.711806E-8
1.743438E-1	1.011759E-7
1.783251E-1	1.051807E-7
1.823200E-1	1.094242E-7
1.863370E-1	1.137628E-7
1.903618E-1	1.181918E-7
1.943848E-1	1.227050E-7
1.983691E-1	1.273094E-7
2.023560E-1	1.319668E-7
2.063840E-1	1.368494E-7
2.103721E-1	1.417070E-7
2.144285E-1	1.468005E-7
2.184193E-1	1.518188E-7
2.224381E-1	1.570035E-7
2.264291E-1	1.622362E-7
2.304161E-1	1.675732E-7
2.344437E-1	1.731034E-7
2.384291E-1	1.786620E-7
2.424864E-1	1.843354E-7
2.464772E-1	1.900986E-7
2.504610E-1	1.959458E-7
