Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-1.0,1.9507152789979807,0.003166013806123,-1.1907739766639128e-06,1.7683501345566104e-09,-2.32286099011148e-06,1.5210433343626727e-09
-0.9899497487437184,1.9528923083275007,0.0034326392123923,-1.173329650774332e-06,1.750819052396666e-09,-2.2913864501297857e-06,2.12862380577664e-09
-0.9798994974874372,1.9724142122637909,0.0032326562304779,-1.137080786346995e-06,1.7040689477827316e-09,-2.2427943034829e-06,1.488034942000517e-09
-0.969849246231156,1.9883778656991955,0.003286214727822,-1.0996297653758388e-06,1.6610195109652462e-09,-2.186479485937317e-06,1.466353092805689e-09
-0.9597989949748744,1.999278883098248,0.0033077790811423,-1.0750370798852248e-06,1.623630020351674e-09,-2.149298932362134e-06,1.4518730336019172e-09
-0.949748743718593,2.014569239385029,0.003719916783559,-1.0393406132504685e-06,1.783424555137618e-09,-2.0938236286979657e-06,1.4281202276620075e-09
-0.9396984924623116,2.027626618701134,0.003365992071191,-1.014478755505124e-06,1.533573133910496e-09,-2.056984128768989e-06,1.4111300576762202e-09
-0.92964824120603,2.044692495673229,0.0034653845901587,-9.79416241451307e-07,1.5145869437329834e-09,-2.0026050390359674e-06,1.3888960107929379e-09
-0.9195979899497488,2.0565538748222663,0.0035000106923931,-9.561732669026896e-07,1.4836280381940463e-09,-1.966421837050191e-06,1.3748671440432852e-09
-0.9095477386934674,2.0746203544974224,0.0035511429487349,-9.220799990617672e-07,1.4366000600909155e-09,-1.9129659345285067e-06,1.356156682833527e-09
-0.8994974874371859,2.0869377632088657,0.0035859487079915,-8.99675204813869e-07,1.406014741215332e-09,-1.8775661595487344e-06,1.341038308769978e-09
-0.8894472361809045,2.1058018833856598,0.0036505092420963,-8.666179960364117e-07,1.3665901371257266e-09,-1.8249258082293815e-06,1.3140764264188943e-09
-0.879396984924623,2.118655131008779,0.0037002689418599,-8.449753776373504e-07,1.3424475328972696e-09,-1.790211419407453e-06,1.2986433857232671e-09
-0.8693467336683418,2.1383631827407346,0.0037724906823434,-8.130019503774214e-07,1.3040801854414706e-09,-1.7384934381834875e-06,1.276900474854821e-09
-0.8592964824120604,2.1517197599386018,0.003815654191349,-7.921623884954831e-07,1.2764130013437411e-09,-1.7045114644058902e-06,1.262160329785251e-09
