Voltage (V),TMR_Ratio,TMR_Error,I_apar (A),I_apar_error (A),I_par (A),I_par_error (A)
-1.0,6.094811436645532,0.01632108176609668,-6.830955358362037e-09,1.7125824333426475e-11,-4.1633384841360026e-08,3.917648437610842e-11
-0.9899497487437185,6.151333052590286,0.012814138140729146,-6.240511420374396e-09,1.1063318770143405e-11,-3.838746416521617e-08,4.199186457929321e-11
-0.9798994974874372,6.20878704512665,0.012933234051307764,-5.696644945273306e-09,9.820042890997892e-12,-3.536925533689912e-08,4.136122138130487e-11
-0.9698492462311558,6.238107033663361,0.011917564734842208,-5.4415215438717924e-09,8.425194548876353e-12,-3.394479381665734e-08,3.798967667612971e-11
-0.9597989949748744,6.2897093325902125,0.011783116351787887,-4.965131479354619e-09,7.618740346521323e-12,-3.1229233803234196e-08,3.356349886684282e-11
-0.949748743718593,6.334448005017238,0.013210272367998672,-4.530969958526188e-09,8.07805028004392e-12,-2.870119361457925e-08,3.1053095983354925e-11
-0.9396984924623115,6.359069297541309,0.012104471830776205,-4.325488557015459e-09,6.795109853052561e-12,-2.7506081479783262e-08,2.9566547001947886e-11
-0.9296482412060302,6.40353122682794,0.014629793414583698,-3.9398152662153695e-09,7.878663328940882e-12,-2.522873008514355e-08,2.7872702083415196e-11
-0.9195979899497487,6.436255204632736,0.021518970544662994,-3.5899161675723945e-09,1.11324236083668e-11,-2.3105616617733027e-08,2.8876988819707153e-11
-0.9095477386934674,6.454929621762149,0.024047684905457854,-3.4252174112406904e-09,1.1982950482297513e-11,-2.2109537328792996e-08,2.831420644649658e-11
-0.8994974874371859,6.495461576511332,0.02443632120893835,-3.1103954523837825e-09,1.1006126992560757e-11,-2.020345414871444e-08,2.581093600008103e-11
-0.8894472361809045,6.528539263223395,0.02149903665274982,-2.8223314664885594e-09,8.365697762242385e-12,-1.8425701792801424e-08,2.643603004813999e-11
-0.8793969849246231,6.542940079414625,0.022205375578068332,-2.6885411673339013e-09,8.110126777528377e-12,-1.7590963758905164e-08,2.7355109662645022e-11
-0.8693467336683417,6.574058938303428,0.026812579896149227,-2.4344962059452765e-09,8.876547625796944e-12,-1.6004521542960328e-08,2.9249648667629615e-11
-0.8592964824120604,6.609435029194001,0.027850113146017014,-2.2017937444928454e-09,8.045578348467615e-12,-1.4552612701911239e-08,3.05352779025913e-11
-0.8492462311557789,6.625323215517152,0.027896744692869607,-2.0937518146971395e-09,7.501765358209061e-12,-1.3871782505444126e-08,3.068132749757117e-11
-0.8391959798994975,6.659368113858624,0.03427123599808489,-1.8895091543782787e-09,8.55330692591548e-12,-1.258293701351068e-08,3.0804500042571625e-11
-0.8291457286432161,6.6969842062545,0.039924702787263185,-1.7025821596356673e-09,8.951019890050316e-12,-1.1402165832930742e-08,3.205040886362895e-11
-0.8190954773869347,6.71786639113904,0.04308055740289872,-1.6148055247530117e-09,9.095524525943188e-12,-1.0848047762963899e-08,3.325674449549489e-11
-0.8090452261306533,6.7639445748708145,0.05131762565333707,-1.4505702237107713e-09,9.720120552999027e-12,-9.811576595137615e-09,3.49099318773898e-11
-0.7989949748743719,6.8212111579894055,0.06091121587697314,-1.2998290751614789e-09,1.039177735032208e-11,-8.866408590970529e-09,3.526947236128462e-11
-0.7889447236180904,6.855479763281085,0.06527288988344702,-1.2290211089599024e-09,1.0527607040685581e-11,-8.425529341119889e-09,3.502516828302504e-11
-0.778894472361809,6.911930715432519,0.07099097076880054,-1.099256520790946e-09,1.0192846962908803e-11,-7.597984910194425e-09,3.356036998963893e-11
-0.7688442211055276,6.952556545350524,0.07951903455468355,-9.84573091372419e-10,1.0273596505480329e-11,-6.845300090797311e-09,3.205868857402326e-11
-0.7587939698492463,6.981068519333696,0.08574703234205219,-9.305586262756955e-10,1.0507487896955796e-11,-6.4962935312876674e-09,3.14027159027542e-11
-0.7487437185929648,7.0469897276961335,0.09113218764061361,-8.29719604512999e-10,9.822998202401168e-12,-5.8470255298712026e-09,3.0425938895757465e-11
-0.7386934673366834,7.108622660236349,0.09542942667239078,-7.395946881809156e-10,9.022899310215543e-12,-5.257499559793293e-09,2.945199080147634e-11
-0.728643216080402,7.1261511186711735,0.09870491288247715,-6.993627117599954e-10,8.80876056214175e-12,-4.983764370765397e-09,2.8719691528168293e-11
-0.7185929648241206,7.141164321683191,0.09813579675722646,-6.263711588584724e-10,7.739228245975945e-12,-4.473019371771477e-09,2.690796814410264e-11
-0.7085427135678393,7.159813874609811,0.11024844241093382,-5.599791737792532e-10,7.870065156648131e-12,-4.009346657917235e-09,2.522531570088828e-11
-0.6984924623115578,7.170815393024989,0.1181575393716017,-5.292082138189497e-10,8.026229615571043e-12,-3.7948544057681845e-09,2.4442999170111523e-11
-0.6884422110552764,7.190997021886406,0.12141653251089703,-4.720191861718299e-10,7.291457649740142e-12,-3.394288562034874e-09,2.3137399182592263e-11
-0.6783919597989949,7.188946078595853,0.13055039425836354,-4.217063002204517e-10,7.016841346072719e-12,-3.0316238532889817e-09,2.2053758148884715e-11
-0.6683417085427136,7.17394122501628,0.13735950446423184,-3.991591356156837e-10,7.034298289533587e-12,-2.8635441783352174e-09,2.143742953551762e-11
-0.6582914572864322,7.134503838859508,0.1554327779939169,-3.576214310137528e-10,7.27803993603525e-12,-2.55145147242605e-09,1.9839024229612108e-11
-0.6482412060301508,7.107088726467162,0.16877933864565886,-3.1978695215244177e-10,7.146933329803693e-12,-2.2727542425139126e-09,1.8251355772703314e-11
-0.6381909547738693,7.0810380877836065,0.16790182123809289,-3.0288721852123753e-10,6.739731033202489e-12,-2.1447559306517193e-09,1.756858178033349e-11
