df_index,H,A,A_err,V_peak,V_peak_err,V0_gauss,V0_gauss_err,slope,slope_err,intercept,intercept_err,chi2,n_points,V_peak_rough,abs_H,fwhm_meas_V,fwhm_meas_err,V_left_meas,V_right_meas,height_meas,sigma_noise,fwhm_fit_V,fwhm_fit_err_V,Phi_eV,Phi_err_eV,Phi_err_stat_eV,Phi_err_floor_eV,Phi_err_repeat_eV,window,Phi_meV,Phi_meV_err,Phi_err_stat_meV,Phi_err_repeat_meV,Phi_err_floor_meV,fwhm_fit_meV,fwhm_fit_meV_err,fwhm_meas_meV,fwhm_meas_meV_err
0,0.8999280207327695,0.10844221869084629,0.24732932019459852,0.5939137266689629,0.1252152731461241,0.5471443096500234,0.43514549413027676,0.14170017317313535,1.1428157477623535,1.5537374480568684,0.8221543380276009,1.2575077810514894,90,0.5979614362039078,0.8999280207327695,0.01369567724547982,0.011549596869210156,0.5602874674483176,0.5739831446937974,0.2179944969012943,0.09513367531671077,0.43860059154111514,0.2814727292577634,0.5939137266689629,0.1252152731461241,0.1252152731461241,0.06396141642786075,0.0056123939661616145,FM,593.9137266689629,125.2152731461241,125.2152731461241,5.612393966161615,63.961416427860755,438.60059154111514,281.4727292577634,13.695677245479821,11.549596869210156
1,0.8999280207327695,0.13327921277942872,0.4121200715890047,0.5889482005659317,0.12888991369427716,0.504838593344786,0.33262329024620946,0.2918005618707249,1.3566075441958432,1.4499629589093763,1.06870194527165,2.513967840701557,90,0.6004223045074147,0.8999280207327695,0.015525964287534944,0.010984572153263289,0.5734126289535721,0.5889385932411071,0.27095803919275846,0.11023580387915916,0.43860059154111514,0.2814727292577634,0.5889482005659317,0.12888991369427716,0.12888991369427716,0.06396141642786075,0.0056123939661616145,FM,588.9482005659316,128.88991369427717,128.88991369427717,5.612393966161615,63.961416427860755,438.60059154111514,281.4727292577634,15.525964287534944,10.984572153263288
2,0.8999290637044678,0.1072496192690244,0.23603044398438996,0.5962943014318637,0.12533481254426185,0.552125777741013,0.4434184581677768,0.13279305452696333,1.1364595426211515,1.5590699897333287,0.809689011343739,0.46627936676705733,90,0.5967103147496994,0.8999290637044678,0.014102729636609523,0.005598687464476434,0.47641342371153367,0.4905161533481432,0.2004390140001155,0.04647911218352832,0.43860059154111514,0.2814727292577634,0.5962943014318637,0.12533481254426185,0.12533481254426185,0.06396141642786075,0.0056123939661616145,FM,596.2943014318637,125.33481254426185,125.33481254426185,5.612393966161615,63.961416427860755,438.60059154111514,281.4727292577634,14.102729636609524,5.598687464476433
3,0.8999290637044678,0.09707528313172979,0.1784428368828419,0.6024613366883769,0.13039110877459353,0.5775313396978622,0.4923826217056271,0.06919045464413003,1.0783928916950614,1.6049946712721341,0.7222072128294837,1.266142774193882,90,0.6016862788376753,0.8999290637044678,0.012963739842662192,0.010959974319585359,0.5325259730823302,0.5454897129249924,0.20236104873164906,0.08738933295894971,0.43860059154111514,0.2814727292577634,0.6024613366883769,0.13039110877459353,0.13039110877459353,0.06396141642786075,0.0056123939661616145,FM,602.4613366883768,130.39110877459353,130.39110877459353,5.612393966161615,63.961416427860755,438.60059154111514,281.4727292577634,12.963739842662193,10.95997431958536
4,0.8402985267748599,0.27448498725680154,0.7596646506886203,0.7315332661322647,0.2655148830159995,0.3757731947986197,0.13985678778800545,0.9443677589644718,1.9177659616553502,1.0392511425303177,1.504230341434047,0.7119750063360539,90,0.5541340771623248,0.8402985267748599,,,,0.5025143334197709,0.3354319015272191,0.16563066804326199,0.43860059154111514,0.2814727292577634,0.7315332661322647,0.2655148830159995,0.2655148830159995,0.06396141642786075,0.07363128691817016,FM,731.5332661322647,265.5148830159995,265.5148830159995,73.63128691817016,63.961416427860755,438.60059154111514,281.4727292577634,,
5,0.8402985267748599,0.1526371005969014,0.4490130083155241,0.573981491647495,0.10814936335377501,0.4940041773088385,0.2889508045862645,0.32087770860742554,1.4077002338103985,1.421246991372184,1.1182226406959972,2.5684031857907597,90,0.5965939467410821,0.8402985267748599,0.010355927956140154,0.005709271352221273,0.7122997160299752,0.7226556439861154,0.24884168499389564,0.1116693091830877,0.43860059154111514,0.2814727292577634,0.573981491647495,0.10814936335377501,0.10814936335377501,0.06396141642786075,0.07363128691817016,FM,573.981491647495,108.149363353775,108.149363353775,73.63128691817016,63.961416427860755,438.60059154111514,281.4727292577634,10.355927956140153,5.709271352221273
6,0.7798713227834448,0.1098110308425688,0.21687624501859554,0.5936057251216434,0.11953090356661035,0.5550510141408761,0.43306818067978603,0.11948897907200347,1.1087900025588722,1.56836245669782,0.7700536569059999,0.6571578043517035,90,0.594125773340431,0.7798713227834448,0.013624880474939816,0.011735805870170939,0.5405867292452723,0.5542116097202121,0.21594185076965905,0.0963540485310592,0.43860059154111514,0.2814727292577634,0.5936057251216434,0.11953090356661035,0.11953090356661035,0.06396141642786075,0.004444071985008928,FM,593.6057251216434,119.53090356661035,119.53090356661035,4.444071985008928,63.961416427860755,438.60059154111514,281.4727292577634,13.624880474939815,11.735805870170939
7,0.7798713227834448,0.09963034631091758,0.1791413210150647,0.6007323313860722,0.12666938326264265,0.5780644951793866,0.4798508128507042,0.06466523245092327,1.0776363539128448,1.6083315502935989,0.7211902202091867,1.2459987088262492,90,0.6003716009071143,0.7798713227834448,0.013056309725347548,0.012268696724857087,0.536530573577853,0.5495868833032006,0.20518151900583184,0.09443541380936703,0.43860059154111514,0.2814727292577634,0.6007323313860722,0.12666938326264265,0.12666938326264265,0.06396141642786075,0.004444071985008928,FM,600.7323313860721,126.66938326264265,126.66938326264265,4.444071985008928,63.961416427860755,438.60059154111514,281.4727292577634,13.056309725347548,12.268696724857087
8,0.7199424265870153,0.12215425674243871,0.20311151955718812,0.5928767245122246,0.10518894595910505,0.5691844432280193,0.40470522045938506,0.08271499294866168,1.1266005133431376,1.5799877779918403,0.7596016996222208,2.0055363267641995,89,0.5955070489485973,0.7199424265870153,0.014421506014021701,0.017732303978299863,0.5722340221593427,0.5866555281733644,0.23224112789413157,0.14658055662433114,0.43860059154111514,0.2814727292577634,0.5928767245122246,0.10518894595910505,0.10518894595910505,0.06396141642786075,0.08668457292746239,FM,592.8767245122247,105.18894595910506,105.18894595910506,86.68457292746238,63.961416427860755,438.60059154111514,281.4727292577634,14.421506014021702,17.732303978299864
9,0.7199424265870153,0.12578035725468295,0.32440126187442014,0.5830063768572143,0.11907872504057886,0.5173270666191172,0.36819074985993394,0.2237504967328766,1.2317980413310419,1.499957001221219,0.9226835455882442,0.0042591431969204955,90,0.5882921570438376,0.7199424265870153,0.4800277311473189,0.1436145968426396,0.22743203349564578,0.7074597646429647,0.13683567925819917,0.05203730356735486,0.43860059154111514,0.2814727292577634,0.5830063768572143,0.11907872504057886,0.11907872504057886,0.06396141642786075,0.08668457292746239,FM,583.0063768572144,119.07872504057886,119.07872504057886,86.68457292746238,63.961416427860755,438.60059154111514,281.4727292577634,480.0277311473189,143.6145968426396
