timestamp,filename,H,Hx,Hy,Hz,sigma,v_offset,residual_rms,n_outliers_removed,temperature
20251206132147,20251206132147_Hx_94.050000E-3_T_Hy_-200.000000E-6_T_Hz_895.000000E-3_T_decreasing.txt.dat,0.8999280207327695,0.09405,-0.0002,0.895,1.5,0.00127115503974,1.4281667569803946e-09,3,90
20251206132231,20251206132231_Hx_94.050000E-3_T_Hy_-200.000000E-6_T_Hz_895.000000E-3_T_increasing.txt.dat,0.8999280207327695,0.09405,-0.0002,0.895,1.5,0.0013191220482531,1.451810224654094e-09,4,90
20251206132326,20251206132326_Hx_94.060000E-3_T_Hy_-190.000000E-6_T_Hz_895.000000E-3_T_decreasing.txt.dat,0.8999290637044678,0.09406,-0.00019,0.895,1.5,0.0012289141221735,1.2499561081397584e-09,3,90
20251206132410,20251206132410_Hx_94.060000E-3_T_Hy_-190.000000E-6_T_Hz_895.000000E-3_T_increasing.txt.dat,0.8999290637044678,0.09406,-0.00019,0.895,1.5,0.0013377946484588,1.451377267535397e-09,3,90
20251206132549,20251206132549_Hx_87.790000E-3_T_Hy_-200.000000E-6_T_Hz_835.700000E-3_T_decreasing.txt.dat,0.8402985267748599,0.08779,-0.0002,0.8357,1.5,0.0012428031216353,1.787456478975937e-09,7,90
20251206132633,20251206132633_Hx_87.790000E-3_T_Hy_-200.000000E-6_T_Hz_835.700000E-3_T_increasing.txt.dat,0.8402985267748599,0.08779,-0.0002,0.8357,1.5,0.0013552381586575,1.5078299375798886e-09,4,90
20251206132752,20251206132752_Hx_81.510000E-3_T_Hy_-200.000000E-6_T_Hz_775.600000E-3_T_decreasing.txt.dat,0.7798713227834448,0.08151,-0.0002,0.7756,1.5,0.0012897784123512,1.8238997990798563e-09,6,90
20251206132836,20251206132836_Hx_81.510000E-3_T_Hy_-200.000000E-6_T_Hz_775.600000E-3_T_increasing.txt.dat,0.7798713227834448,0.08151,-0.0002,0.7756,1.5,0.0013271484097656,1.4467700987271336e-09,3,90
20251206132955,20251206132955_Hx_75.240000E-3_T_Hy_-200.000000E-6_T_Hz_716.000000E-3_T_decreasing.txt.dat,0.7199424265870153,0.07524,-0.0002,0.716,1.5,0.0012353580298995,1.6772789933500284e-09,7,90
20251206133039,20251206133039_Hx_75.240000E-3_T_Hy_-200.000000E-6_T_Hz_716.000000E-3_T_increasing.txt.dat,0.7199424265870153,0.07524,-0.0002,0.716,1.5,0.001357033813145,1.2830125021219671e-09,1,90
20251206133225,20251206133225_Hx_68.970000E-3_T_Hy_-210.000000E-6_T_Hz_656.400000E-3_T_decreasing.txt.dat,0.6600135339521455,0.06897,-0.00021,0.6564,1.5,0.0012302046683495,1.427448274728689e-09,3,90
20251206133309,20251206133309_Hx_68.970000E-3_T_Hy_-210.000000E-6_T_Hz_656.400000E-3_T_increasing.txt.dat,0.6600135339521455,0.06897,-0.00021,0.6564,1.5,0.0013353057339323,1.3605634261815956e-09,2,90
20251206133428,20251206133428_Hx_62.710000E-3_T_Hy_-200.000000E-6_T_Hz_596.600000E-3_T_decreasing.txt.dat,0.5998867760669508,0.06271,-0.0002,0.5966,1.5,0.0012154443079686,1.6099403897020615e-09,5,90
20251206133512,20251206133512_Hx_62.710000E-3_T_Hy_-200.000000E-6_T_Hz_596.600000E-3_T_increasing.txt.dat,0.5998867760669508,0.06271,-0.0002,0.5966,1.5,0.0013364086396517,1.2642381350967496e-09,1,90
20251206133631,20251206133631_Hx_56.430000E-3_T_Hy_-190.000000E-6_T_Hz_537.000000E-3_T_decreasing.txt.dat,0.5399568325338611,0.05643,-0.00019,0.537,1.5,0.0012653421133815,1.5091689588913015e-09,6,90
20251206133715,20251206133715_Hx_56.430000E-3_T_Hy_-190.000000E-6_T_Hz_537.000000E-3_T_increasing.txt.dat,0.5399568325338611,0.05643,-0.00019,0.537,1.5,0.0013272455682779,1.2712551440104651e-09,1,90
20251206133835,20251206133835_Hx_50.150000E-3_T_Hy_-210.000000E-6_T_Hz_477.400000E-3_T_decreasing.txt.dat,0.4800269019544634,0.05015,-0.00021,0.4774,1.5,0.0012408533114971,1.481029549168218e-09,3,90
20251206133919,20251206133919_Hx_50.150000E-3_T_Hy_-210.000000E-6_T_Hz_477.400000E-3_T_increasing.txt.dat,0.4800269019544634,0.05015,-0.00021,0.4774,1.5,0.0013456666110965,1.244917586855229e-09,1,90
20251206134038,20251206134038_Hx_43.890000E-3_T_Hy_-210.000000E-6_T_Hz_417.600000E-3_T_decreasing.txt.dat,0.4199001502738478,0.04389,-0.00021,0.4176,1.5,0.00121807314825,1.497799821684252e-09,4,90
20251206134122,20251206134122_Hx_43.890000E-3_T_Hy_-210.000000E-6_T_Hz_417.600000E-3_T_increasing.txt.dat,0.4199001502738478,0.04389,-0.00021,0.4176,1.5,0.0013607371469345,1.364475978993635e-09,2,90
20251206134241,20251206134241_Hx_37.620000E-3_T_Hy_-210.000000E-6_T_Hz_358.000000E-3_T_decreasing.txt.dat,0.3599712606584031,0.03762,-0.00021,0.358,1.5,0.0012435919807515,1.4064433053525743e-09,3,90
20251206134325,20251206134325_Hx_37.620000E-3_T_Hy_-210.000000E-6_T_Hz_358.000000E-3_T_increasing.txt.dat,0.3599712606584031,0.03762,-0.00021,0.358,1.5,0.0013075034588884,1.3910098297339423e-09,3,90
