T_K,n_AFM_iv,n_FM_iv,V_thr_AFM_V,V_thr_FM_V,B_FN_AFM_V,B_FN_FM_V,R2_AFM,R2_FM,V_T_AFM_V,V_T_FM_V,ok_VT_AFM,ok_VT_FM,ratio_B,ratio_phi,phi_AFM_meV,phi_FM_meV,dphi_meV,d_AFM_nm,d_FM_nm,V_peak_AFM_meV,V_peak_AFM_err_meV,V_peak_FM_meV,V_peak_FM_err_meV,dVpeak_meV,L_V_per_eV
20,4,48,0.1254875,0.0971375,1.3012379754740828,0.6565552249486567,0.9980107439384697,0.9980248929786324,0.434975,0.0971375,True,False,1.981917020880979,1.5778182617273688,434.975,275.68130661879695,159.293693381203,0.6641093281609897,0.6641093281609898,801.7834076370718,1.3705971979072449,610.5265006688944,3.5879056499872455,191.25690696817733,1.2006558634464182
30,4,48,0.066425,0.049887499999999994,1.0224597388327417,0.3557416939857878,0.9980978550572398,0.9980702914288266,0.46805,0.09005,True,True,2.874163349752278,2.0215025713067694,468.05,231.53569361894813,236.51430638105188,0.4675059449324356,0.4675059449324357,802.8516580177298,0.9163489818565894,596.733774303433,1.128620446644074,206.11788371429674,0.8714816742722404
40,4,25,0.03335,0.0262625,0.8659583500876823,,0.9980516176541081,,0.46568750000000003,,True,False,,,,,,,,789.3647784773929,2.1864964154157303,588.6396533716766,1.2789894184741828,200.72512510571627,
50,4,48,0.0168125,0.012087500000000001,0.7384792320770488,0.13911106100823487,0.9980837318445352,0.9980516778239372,0.4397,0.17273750000000002,True,True,5.30855869206068,3.0431106846058906,439.7,144.49030796819176,295.20969203180823,0.37083685072263534,0.3708368507226353,734.4973753663805,69.0871994302881,565.9758164064667,0.5194582980503709,168.52155895991373,0.5708537473822366
60,4,48,0.014450000000000001,0.009725000000000001,0.6466167853753468,0.0452612011326907,0.9980186654171925,0.9980420325264177,0.41135,0.198725,True,True,14.286337286535607,5.887721597995611,411.34999999999997,69.865735523235,341.484264476765,0.35884675062388527,0.35884675062388527,689.1694927169873,56.80648646236117,541.1222101229142,0.7401103661651535,148.04728259407307,0.43354056978559957
70,4,48,0.012087500000000001,0.0073625,0.5532516121411938,,0.9980986562678272,,0.3853625,,True,False,,,,,,,,652.3339044316525,83.99923181324068,522.6116218699549,1.5563086490142026,129.7222825616976,
80,4,48,0.009725000000000001,0.005,0.3788707639392921,-0.14920831391335054,0.9980801131949035,0.9980960016309294,0.3475625,,True,False,,,,,,,,628.2881575856557,1059.2962149781945,532.9955308599874,3.4823047174518176,95.2926267256683,
90,4,48,0.0073625,0.005,,-0.25214907343880316,,0.998021016281927,,,False,False,,,,,,,,633.6987507862976,326.89266477233645,601.6196476428763,13.263739770088867,32.07910314342133,
100,4,48,0.005,0.005,-0.07569669694094616,-0.36185604045203296,0.9980396618731351,0.9980189043743684,,,False,False,,,,,,,,774.4946381559653,65.19387699848129,769.4915219861881,5.497279787347009,5.003116169777222,
110,4,48,0.005,0.005,,,,,,,False,False,,,,,,,,475.9602109980842,77.07328830376377,473.8419833195452,6.05679081632966,2.118227678539031,
120,4,48,0.005,0.005,,,,,,,False,False,,,,,,,,475.9289018398777,62.111281356906275,475.9311296593189,2.854860857100756e-13,-0.0022278194411473606,
130,4,48,0.005,0.005,,,,,,,False,False,,,,,,,,475.93191863727435,1103.4850698893274,475.934137554607,8.484320966059629,-0.002218917332652559,
